P0	P10	P20	P30	P40	P60	P90	P120	fit.cluster
YDL136W	37104	30357	34453	29199	38619	22968	32481	20234	2
YHL015W	14871	18202	17021	16031	17366	14671	12620	12054	1
YLR441C	8654	5394	10292	8767	12607	10790	14330	12408	1
YJR123W	39938	54721	28881	33839	49086	38201	27033	22218	2
YDR226W	16742	14938	14053	18540	20189	19509	17064	19372	1
YBR181C	25626	26453	26342	26064	30289	22120	23739	23040	2
YGL076C	14926	12917	11389	13694	15482	13239	12521	11545	1
YPL131W	11666	11856	8490	9336	13500	10537	8373	7433	1
YDL051W	1750	1794	1452	1954	1956	1997	1846	2073	5
YKL180W	18794	19024	23645	19130	23809	15200	19810	14004	2
YBR031W	52442	54248	69699	41827	1625	33078	32456	30411	2
YLR420W	1405	1241	900	790	1329	583	731	641	5
YLR355C	14090	12671	9676	11385	13147	10952	8840	9734	1
YMR116C	16032	21870	10989	12082	18437	11917	7863	8095	1
YNL096C	15225	12772	11155	14566	12386	9122	8717	8414	1
YGL123W	12875	13371	12269	11983	15640	9166	10768	8115	1
YBR249C	2051	2106	1239	2753	2202	2690	2322	2742	5
YOR096W	21900	20733	19331	18145	21222	13463	13395	12894	1
YHR025W	4302	5165	5175	6185	4860	5665	5960	6085	5
YLR058C	3256	1861	1946	2518	4075	2484	3509	2991	5
YAR071W	315	320	250	117	409	248	214	77	5
YBR092C	288	73	180	0	223	180	70	82	5
YBR121C	3273	2453	2665	2765	3641	2054	3123	2663	5
YJR016C	843	689	434	530	1162	801	522	646	5
YGR185C	1864	1453	1425	2107	2741	2008	2574	2390	5
YLR359W	4278	3228	3311	2881	4358	2079	2562	1821	5
YLR060W	3483	2676	2821	3327	3474	2340	3091	2448	5
YDR023W	6748	5644	7721	6369	7438	6067	5941	5890	1
YBL024W	455	380	569	464	534	334	483	613	5
YOR168W	980	889	946	708	1110	676	619	712	5
YLR432W	2912	2426	1804	2488	2669	1947	3130	1281	5
YJL138C	1038	1003	938	942	674	957	679	596	5
YMR120C	1943	1292	1488	2291	2847	1808	2818	3048	5
YBL076C	1796	1611	1164	1416	2075	1292	1431	1375	5
YHR019C	1972	1171	1648	2117	2845	1072	2431	1811	5
YMR131C	111	188	164	125	214	135	282	197	5
YDR234W	132	108	161	111	391	92	145	281	5
YDR111C	189	120	0	184	282	0	339	211	5
YOR335C	1954	1757	1428	1506	2417	1355	1808	1518	5
YDR037W	5993	5267	6080	6368	6515	5149	6275	5564	1
YIL078W	1766	1033	956	1247	1773	990	1374	1032	5
YGR264C	426	392	353	405	701	462	534	757	5
YLR249W	332	197	301	218	164	447	100	285	5
YDR385W	1668	1349	1283	923	1362	2171	868	3627	5
YDL077C	53	31	46	102	0	32	77	34	5
YCL030C	740	658	894	1035	1215	688	887	583	5
YPL160W	4240	3638	3505	3212	4222	2412	2981	2884	5
YOL123W	153	156	0	186	531	296	206	369	5
YGR061C	3401	3049	2040	2470	2742	1763	1729	1621	5
YJR031C	31	50	41	63	76	34	85	83	5
YJL130C	66	49	66	88	101	31	74	95	5
YLL050C	6316	7069	6939	6275	8658	7400	7679	7101	1
YDR519W	876	768	274	726	894	634	1057	745	5
YDL046W	2135	1024	2046	2332	1692	1423	1507	1181	5
YPL059W	1444	1264	1848	1703	1212	1591	1512	1891	5
YGR037C	2028	2884	1083	1970	4782	4134	3188	8837	5
YDL125C	3624	2779	1734	2730	3108	2129	2005	2374	5
YML078W	4005	4073	6274	5326	4473	4849	4484	4863	5
YKL192C	895	1551	607	826	1316	2072	1631	1158	5
YER062C	242	91	171	140	381	141	563	439	5
YJL217W	940	529	555	823	1125	910	879	580	5
YML028W	1581	1686	662	1493	3437	3656	3127	5950	5
YML092C	810	582	264	670	829	655	1133	1199	5
YJR009C	85355	77143	62440	64942	89246	61676	51073	50921	4
YJR025C	996	697	0	641	1622	835	1140	1204	5
YJR139C	8094	6996	5234	7620	8144	6439	6304	7101	1
