P0	P10	P20	P30	P40	P60	P90	P120	fit.cluster
YGL087C	0	0	0	0	970	292	414	972	5
YBR072W	0	0	0	0	199	0	196	0	5
YDL033C	0	0	0	0	58	38	0	0	5
YDR480W	0	0	0	0	98	0	0	259	5
YGR246C	0	0	0	266	353	150	326	0	5
YHR043C	0	0	0	0	0	80	0	139	5
YMR100W	0	0	0	44	0	21	0	0	5
YBR058C	0	0	0	0	137	31	56	140	5
YLR460C	0	0	0	0	387	245	194	306	5
YHR186C	0	0	0	6	0	6	15	0	5
YMR111C	0	0	0	0	0	16	0	34	5
YFR049W	0	0	123	0	0	0	137	0	5
YBR059C	0	0	0	0	20	0	15	7	5
YKR071C	0	0	0	0	0	0	64	133	5
YGL092W	0	0	0	10	12	0	0	0	5
YHR070W	0	0	0	0	0	40	0	36	5
YHR028C	0	0	33	52	0	0	0	0	5
YGL206C	3	0	0	0	0	0	0	3	5
YDR524C	0	0	67	0	147	0	0	0	5
YPR022C	0	0	0	0	41	22	0	0	5
YBL105C	0	0	17	0	0	0	0	29	5
YER184C	65	23	0	0	0	0	78	0	5
YOR227W	0	0	0	40	35	0	17	11	5
YKL089W	21	0	0	0	14	0	0	0	5
YHL008C	0	16	0	0	0	0	0	21	5
YGR081C	0	0	125	85	0	0	0	0	5
YOR052C	0	0	0	0	0	0	98	152	5
YNL136W	0	0	0	32	63	107	0	0	5
YBR261C	0	0	0	0	0	87	0	35	5
YFR002W	0	0	0	0	211	43	273	31	5
YPL207W	0	0	0	0	34	0	35	0	5
YNL144C	0	25	0	0	0	0	23	0	5
YKR050W	0	0	20	0	0	0	0	20	5
YLR003C	0	0	0	19	38	0	0	0	5
YKL148C	0	0	0	0	104	0	59	80	5
YOR208W	0	0	0	131	0	115	0	0	5
YOR382W	0	0	0	0	2201	1987	0	0	5
YOR254C	40	0	0	0	0	40	0	0	5
YNL131W	0	0	0	0	286	121	329	116	5
YHR042W	0	0	10	0	0	0	15	0	5
YIL110W	0	0	0	0	0	326	0	214	5
YDL109C	0	0	0	117	28	0	45	0	5
YJR039W	0	0	27	0	0	0	27	0	5
YFL016C	0	0	0	0	137	0	119	0	5
YNL103W	0	0	0	0	23	41	0	0	5
YCL039W	0	0	0	0	0	31	49	0	5
YOR239W	0	0	0	0	69	0	58	0	5
YML071C	18	27	0	0	0	0	0	0	5
YDR091C	168	108	0	0	0	0	0	0	5
YNR065C	39	20	16	41	21	0	22	21	5
YDR028C	0	0	0	51	30	0	0	0	5
YCL051W	0	0	0	9	0	0	10	0	5
YGL058W	0	0	0	0	1428	799	0	0	5
YNL090W	0	0	0	0	0	126	83	72	5
YBR293W	0	0	0	0	0	0	118	300	5
YJL049W	12	20	0	0	0	0	0	0	5
YER147C	0	0	0	0	0	0	114	62	5
YPL236C	0	0	0	0	178	70	0	187	5
YOR158W	0	0	0	0	0	0	64	72	5
YNL310C	0	0	0	442	565	206	0	0	5
YPL137C	0	0	0	41	42	0	0	0	5
YGR199W	44	36	0	0	0	0	0	0	5
YKL191W	0	0	0	0	0	39	109	0	5
YOL097C	0	0	0	0	0	0	265	195	5
YNL234W	0	0	0	116	243	0	271	338	5
YOR092W	0	0	0	108	0	0	0	121	5
YEL061C	0	0	0	28	0	0	41	0	5
YGR171C	0	0	0	0	89	60	0	0	5
YIL046W	0	0	0	0	0	39	21	33	5
YKL032C	176	93	0	0	0	0	0	0	5
YBL036C	123	87	0	0	0	0	0	0	5
YFL013C	0	0	0	0	0	0	88	58	5
YMR134W	316	426	0	0	0	0	0	0	5
YDR251W	54	0	86	0	0	0	0	0	5
YDR354W	0	0	0	0	0	159	134	0	5
YMR211W	0	0	0	0	0	0	12	12	5
YDR310C	0	0	31	0	0	0	0	32	5
YDR359C	0	0	0	0	20	0	17	0	5
YBL088C	0	0	0	0	0	0	8	8	5
YPR031W	0	0	0	0	0	0	57	106	5
YJR092W	0	0	0	0	6	5	0	0	5
YIL137C	0	0	0	0	0	0	21	25	5
YKR103W	0	0	0	0	0	15	9	0	5
YGR097W	0	54	0	79	0	0	0	0	5
YER129W	0	0	0	59	0	0	80	0	5
YPL240C	0	0	0	0	0	120	0	96	5
YPL193W	0	0	0	0	0	0	70	99	5
YPL060W	0	0	0	0	0	0	90	151	5
YEL029C	892	950	0	0	0	0	0	0	5
YJL092W	0	0	0	37	0	43	0	0	5
YLR265C	0	0	0	0	1817	0	1778	0	5
YNL272C	0	0	0	0	0	0	74	56	5
YJL062W	0	0	0	0	0	0	496	645	5
YJL033W	0	0	0	0	0	0	14	22	5
YOL065C	0	0	0	0	103	0	94	0	5
YKL074C	0	0	0	0	0	0	106	155	5
YDR022C	0	0	0	0	0	0	302	336	5
YAR042W	0	0	0	0	0	33	0	33	5
YHL004W	0	0	0	0	0	0	70	53	5
YHR149C	121	0	0	0	77	0	0	0	5
Q0050	0	0	0	0	98	0	0	0	5
Q0105	0	0	0	0	0	327	383	0	5
YAL001C	0	0	0	0	0	0	0	0	5
YAL004W	0	0	0	0	0	0	0	0	5
YAL007C	0	0	0	0	0	0	0	0	5
YAL008W	0	0	0	0	0	0	0	0	5
YAL009W	0	0	0	0	0	0	0	0	5
YAL010C	0	0	0	0	0	0	0	0	5
YAL013W	0	0	0	0	0	0	0	0	5
YAL014C	13	0	0	0	0	0	0	0	5
YAL015C	0	0	0	0	0	0	0	0	5
YAL016W	0	0	0	0	0	0	0	0	5
YAL017W	0	0	0	0	0	0	0	0	5
YAL018C	0	0	0	0	0	0	0	0	5
YAL019W	0	0	0	0	0	17	0	0	5
YAL020C	0	0	0	0	0	0	0	0	5
YAL021C	0	0	0	0	0	0	0	0	5
YAL022C	0	0	0	0	0	0	0	0	5
YAL023C	0	0	0	0	0	0	0	0	5
YAL025C	0	0	0	0	0	0	0	0	5
YAL026C	0	0	0	0	14	0	0	0	5
YAL027W	0	0	0	0	0	0	0	0	5
YAL028W	0	0	0	0	0	0	0	0	5
YAL030W	0	0	0	0	0	0	0	0	5
YAL032C	0	0	0	0	0	0	0	0	5
YAL033W	0	0	0	0	0	0	0	0	5
YAL034C	0	0	0	0	0	0	0	0	5
YAL034W-A	0	0	0	0	0	0	0	0	5
YAL035C-A	0	0	0	0	0	0	0	0	5
YAL035W	0	0	0	0	0	0	0	0	5
YAL036C	0	0	0	0	0	0	0	0	5
YAL037W	0	0	0	0	0	0	0	0	5
YAL039C	0	0	0	0	0	0	0	0	5
YAL040C	0	0	0	0	0	0	0	0	5
YAL041W	0	0	0	0	0	0	0	0	5
YAL042W	0	0	0	0	0	0	0	0	5
YAL043C-A	0	0	0	0	0	0	0	0	5
YAL045C	0	0	0	0	0	0	0	0	5
YAL046C	0	0	0	0	0	0	0	0	5
YAL047C	0	0	0	0	0	0	0	0	5
YAL049C	0	0	0	0	0	0	0	108	5
YAL055W	0	0	0	0	0	0	0	0	5
YAL056W	0	0	0	0	0	0	0	0	5
YAL058C-A	0	0	0	0	0	0	0	0	5
YAL058W	0	0	0	0	0	0	0	0	5
YAL059W	0	0	0	0	0	0	0	0	5
YAL060W	0	0	0	0	0	0	0	0	5
YAL061W	0	0	0	0	0	0	0	0	5
YAL062W	0	0	0	0	0	0	0	0	5
YAL063C	0	0	0	0	0	0	0	0	5
YAL064C-A	0	0	0	0	0	0	0	0	5
YAL064W	0	0	0	0	0	0	0	0	5
YAL064W-B	0	0	0	0	0	0	0	0	5
YAL065C	0	0	0	0	0	0	0	0	5
YAL066W	0	0	0	0	0	0	0	0	5
YAL067C	0	0	0	0	0	0	0	0	5
YAL068C	0	0	0	0	0	0	0	0	5
YAL069W	0	0	0	0	0	0	0	0	5
YAR002C-A	0	0	0	0	0	0	0	0	5
YAR002W	0	0	0	0	0	0	0	0	5
YAR003W	14	0	0	0	0	0	0	0	5
YAR008W	0	0	0	0	0	0	0	0	5
YAR009C	0	0	0	0	0	0	0	0	5
YAR010C	0	0	0	0	0	0	0	0	5
YAR018C	0	0	0	0	0	0	0	0	5
YAR019C	0	0	0	0	0	14	0	0	5
YAR020C	0	0	0	0	0	0	0	0	5
YAR023C	0	0	0	0	0	0	0	0	5
YAR027W	0	0	0	0	0	0	0	0	5
YAR028W	0	0	0	0	0	0	0	0	5
YAR029W	0	0	0	0	0	0	0	0	5
YAR030C	0	0	0	0	0	0	0	0	5
YAR031W	0	0	0	0	0	0	0	0	5
YAR033W	0	0	0	0	0	0	0	0	5
YAR035W	0	0	0	0	0	0	0	0	5
YAR044W	0	0	0	0	0	0	0	0	5
YAR047C	0	0	0	0	0	0	0	0	5
YAR050W	0	0	0	0	0	0	0	0	5
YAR060C	0	0	0	0	0	0	0	0	5
YAR061W	0	0	0	0	0	0	0	0	5
YAR062W	0	0	0	0	0	0	0	0	5
YAR064W	0	0	0	0	0	0	0	0	5
YAR066W	0	0	0	0	0	0	0	0	5
YAR068W	0	0	0	0	0	0	0	0	5
YAR069C	0	0	0	0	0	0	0	0	5
YAR070C	0	0	0	0	0	0	0	0	5
YAR075W	0	0	0	0	0	0	0	0	5
YBL005W	0	0	0	0	0	0	103	44	5
YBL005W-A	0	0	0	0	0	0	0	0	5
YBL005W-B	0	0	0	0	0	0	0	0	5
YBL006C	0	0	0	0	0	0	0	0	5
YBL008W	0	0	0	0	0	0	0	0	5
YBL008W-A	122	0	0	0	0	0	0	0	5
YBL009W	0	0	0	0	0	0	0	0	5
YBL010C	0	0	0	0	0	0	0	0	5
YBL011W	0	0	0	15	0	0	0	0	5
YBL012C	0	0	0	0	0	0	0	0	5
YBL013W	0	0	0	0	0	0	0	0	5
YBL014C	0	0	0	0	0	0	0	0	5
YBL016W	0	0	0	0	0	0	0	0	5
YBL017C	0	0	0	0	0	0	0	0	5
YBL018C	0	0	0	0	0	0	0	0	5
YBL019W	0	0	0	0	0	0	0	0	5
YBL022C	0	0	0	0	0	0	0	0	5
YBL023C	0	0	0	0	0	0	0	0	5
YBL025W	0	0	0	0	0	0	0	0	5
YBL026W	0	0	0	0	0	0	0	0	5
YBL028C	0	0	0	0	0	0	0	0	5
YBL029W	0	0	0	36	0	0	0	0	5
YBL031W	0	0	0	0	0	0	0	0	5
YBL032W	0	0	0	0	0	0	0	0	5
YBL033C	0	0	0	0	0	0	0	0	5
YBL034C	0	0	0	0	0	0	0	0	5
YBL035C	0	0	0	0	0	0	0	0	5
YBL037W	0	0	0	0	0	0	0	0	5
YBL038W	0	0	0	0	0	0	0	0	5
YBL039C	0	0	0	0	0	0	0	0	5
YBL040C	0	0	0	0	0	0	0	0	5
YBL042C	0	0	0	0	0	0	0	0	5
YBL043W	0	0	0	0	0	0	0	0	5
YBL044W	0	0	0	0	0	0	0	0	5
YBL046W	15	0	0	0	0	0	0	0	5
YBL048W	0	0	0	0	0	0	0	0	5
YBL049W	0	0	0	0	0	0	0	0	5
YBL051C	0	0	0	0	0	0	0	0	5
YBL052C	0	0	0	0	0	0	0	0	5
YBL053W	0	0	0	0	0	0	0	0	5
YBL054W	0	0	0	0	0	0	0	0	5
YBL055C	73	82	0	0	0	0	0	0	5
YBL056W	0	0	0	0	59	0	0	0	5
YBL057C	172	0	0	0	0	0	0	0	5
YBL059W	0	0	0	0	0	0	0	0	5
YBL060W	0	0	0	0	0	0	0	0	5
YBL061C	86	0	0	0	0	0	0	0	5
YBL062W	0	0	0	0	0	0	0	0	5
YBL064C	0	0	0	0	0	0	0	141	5
YBL065W	0	0	0	0	0	0	0	0	5
YBL067C	0	0	0	0	0	67	0	0	5
YBL068W	0	0	30	0	0	0	0	0	5
YBL069W	0	0	0	0	0	0	0	0	5
YBL070C	0	0	0	0	0	0	0	0	5
YBL071C	0	0	0	0	0	0	0	0	5
YBL073W	0	0	0	0	0	0	0	0	5
YBL074C	0	0	0	0	0	0	0	0	5
YBL077W	0	0	0	0	0	0	0	0	5
YBL078C	0	0	0	0	0	0	0	0	5
YBL080C	0	0	0	0	0	0	0	0	5
YBL081W	0	0	0	0	0	0	0	0	5
YBL082C	0	0	0	0	0	0	0	0	5
YBL083C	0	0	0	0	0	0	0	0	5
YBL084C	0	0	0	0	0	0	0	0	5
YBL085W	0	0	0	5	0	0	0	0	5
YBL089W	0	0	0	0	0	0	0	0	5
YBL090W	0	0	0	0	0	0	0	0	5
YBL093C	0	0	0	0	0	0	0	0	5
YBL094C	0	0	0	0	0	0	0	0	5
YBL095W	0	0	0	0	0	0	0	0	5
YBL096C	0	0	0	0	0	0	0	0	5
YBL097W	0	0	0	0	0	0	0	0	5
YBL098W	0	0	0	0	0	0	0	0	5
YBL100C	0	0	0	0	0	0	0	0	5
YBL100W-B	34	0	33	0	0	0	0	0	5
YBL101C	0	0	0	0	0	0	0	0	5
YBL101W-A	0	0	0	0	0	0	0	0	5
YBL101W-B	0	0	0	0	0	0	0	0	5
YBL102W	0	0	0	0	0	0	0	0	5
YBL103C	0	0	0	0	0	0	0	0	5
YBL104C	0	0	0	0	0	0	0	0	5
YBL107C	0	0	0	0	0	0	0	0	5
YBL108W	0	0	0	0	0	0	0	0	5
YBL109W	0	0	0	0	0	0	0	0	5
YBL111C	0	0	0	0	0	0	0	0	5
YBL112C	0	0	0	0	0	0	0	0	5
YBL113C	0	0	0	0	0	0	0	0	5
YBR001C	0	0	0	0	0	0	0	0	5
YBR003W	0	0	0	0	0	0	0	0	5
YBR004C	0	0	0	0	0	0	0	0	5
YBR005W	0	0	0	0	0	0	0	0	5
YBR006W	0	0	0	22	38	58	0	29	5
YBR008C	0	0	0	0	0	0	0	0	5
YBR010W	0	0	0	0	138	0	0	0	5
YBR012C	0	0	0	0	0	0	0	0	5
YBR012W-A	0	0	0	0	0	0	0	0	5
YBR012W-B	0	0	0	0	0	0	0	0	5
YBR013C	0	0	0	0	0	0	0	0	5
YBR014C	0	0	0	0	0	0	0	0	5
YBR015C	0	0	0	0	0	0	0	0	5
YBR016W	0	0	0	0	0	0	0	0	5
YBR017C	0	0	0	0	0	0	0	0	5
YBR018C	0	0	0	0	0	0	0	0	5
YBR019C	0	0	0	0	0	0	0	0	5
YBR020W	0	0	0	0	0	0	0	0	5
YBR021W	0	0	0	0	0	0	0	0	5
YBR022W	0	0	0	0	0	0	0	0	5
YBR023C	0	0	0	0	0	0	0	0	5
YBR024W	0	0	0	0	0	0	0	0	5
YBR027C	0	0	0	0	0	0	0	0	5
YBR029C	0	0	0	0	0	0	0	0	5
YBR030W	0	0	0	0	0	0	0	0	5
YBR032W	0	0	0	0	0	0	0	0	5
YBR036C	0	0	0	0	0	0	0	0	5
YBR037C	0	0	0	0	0	0	0	0	5
YBR038W	0	0	0	0	0	111	0	0	5
YBR039W	50	151	781	464	342	231	498	383	5
YBR040W	0	0	0	0	0	0	0	0	5
YBR041W	0	0	0	0	0	0	0	0	5
YBR042C	0	0	0	0	0	12	0	0	5
YBR043C	0	0	0	0	0	0	0	0	5
YBR044C	0	0	0	0	0	0	0	0	5
YBR045C	0	0	0	117	67	0	0	0	5
YBR046C	0	0	0	0	0	0	0	0	5
YBR047W	0	0	0	0	0	0	0	0	5
YBR050C	0	0	0	0	0	0	0	0	5
YBR051W	0	0	0	0	0	0	0	0	5
YBR052C	0	0	0	0	0	0	0	0	5
YBR054W	0	0	0	0	0	0	0	0	5
YBR055C	0	0	0	0	0	0	0	0	5
YBR056W	0	0	0	0	0	0	0	0	5
YBR057C	0	0	0	0	0	0	0	0	5
YBR060C	0	0	0	0	0	0	0	0	5
YBR061C	0	0	0	0	0	0	0	0	5
YBR062C	0	0	0	313	0	0	0	0	5
YBR063C	0	0	0	0	0	0	0	0	5
YBR064W	0	0	0	0	0	0	0	0	5
YBR065C	0	0	0	0	0	0	0	0	5
YBR066C	0	0	0	0	0	0	0	0	5
YBR068C	0	0	0	0	0	0	0	0	5
YBR069C	0	0	0	0	0	0	0	0	5
YBR070C	0	0	0	0	0	0	0	0	5
YBR071W	0	0	0	0	0	0	0	0	5
YBR074W	0	0	0	0	0	0	0	0	5
YBR075W	0	0	0	0	0	0	0	0	5
YBR076W	0	0	0	0	0	0	0	0	5
YBR077C	0	0	0	0	0	0	0	0	5
YBR080C	0	0	0	0	0	0	0	0	5
YBR082C	0	0	0	0	0	459	0	0	5
YBR083W	0	0	0	0	0	0	0	0	5
YBR084C-A	0	0	0	0	0	0	0	0	5
YBR085W	0	0	0	0	0	0	0	0	5
YBR086C	58	0	0	0	0	0	0	0	5
YBR087W	0	0	0	0	0	0	0	0	5
YBR089C-A	0	0	0	187	0	286	229	349	5
YBR089W	0	0	0	0	0	0	0	0	5
YBR090C	0	0	0	0	0	0	0	0	5
YBR091C	0	0	0	0	0	0	0	0	5
YBR093C	0	0	0	0	0	0	0	0	5
YBR094W	0	0	0	0	0	0	0	0	5
YBR095C	0	0	0	0	0	0	0	0	5
YBR096W	0	0	0	0	0	0	0	0	5
YBR097W	0	0	0	0	0	4	0	0	5
YBR098W	0	0	0	0	0	0	0	0	5
YBR099C	0	0	0	0	0	0	0	0	5
YBR100W	0	0	0	0	0	0	0	0	5
YBR102C	0	0	0	0	0	0	0	0	5
YBR103W	0	0	0	0	0	0	0	0	5
YBR104W	0	0	0	0	0	0	0	0	5
YBR105C	0	0	0	0	0	0	0	0	5
YBR106W	0	0	0	0	0	0	0	0	5
YBR107C	0	0	0	0	0	0	0	0	5
YBR108W	0	0	0	0	0	0	0	0	5
YBR109C	0	0	60	0	0	0	0	0	5
YBR110W	0	0	0	0	0	0	0	0	5
YBR111W-A	0	0	0	0	101	0	0	0	5
YBR112C	0	0	0	0	0	0	0	0	5
YBR113W	0	0	0	0	0	0	0	0	5
YBR114W	0	0	0	0	0	0	0	7	5
YBR116C	0	0	0	0	0	0	0	0	5
YBR117C	0	0	0	0	0	0	0	0	5
YBR119W	0	0	0	0	0	0	0	0	5
YBR120C	0	0	0	0	0	0	0	0	5
YBR122C	0	0	0	0	0	0	0	0	5
YBR123C	0	0	0	0	0	0	0	0	5
YBR124W	0	0	0	0	0	0	0	0	5
YBR125C	0	0	0	0	0	0	0	0	5
YBR128C	0	0	0	0	0	0	0	0	5
YBR129C	0	0	0	0	0	0	0	0	5
YBR131W	0	0	0	0	0	0	0	0	5
YBR132C	0	0	0	0	0	0	0	0	5
YBR133C	0	0	0	0	0	0	0	0	5
YBR134W	0	0	0	0	0	0	0	0	5
YBR137W	0	0	0	0	0	0	0	0	5
YBR138C	0	0	0	0	0	0	0	0	5
YBR139W	13	0	0	0	193	58	102	24	5
YBR141C	0	0	0	0	0	0	0	0	5
YBR142W	0	0	0	0	0	0	0	0	5
YBR143C	0	0	0	0	0	0	0	0	5
YBR144C	0	0	0	0	0	0	0	0	5
YBR146W	0	0	0	0	0	0	0	0	5
YBR147W	0	0	0	0	0	0	0	0	5
YBR148W	0	0	0	0	0	0	0	0	5
YBR150C	0	0	0	0	0	0	0	0	5
YBR151W	0	0	0	0	0	0	0	0	5
YBR152W	0	0	0	0	0	0	0	0	5
YBR153W	0	0	0	0	0	0	0	0	5
YBR154C	0	0	0	0	0	0	385	0	5
YBR155W	0	0	0	0	0	0	0	0	5
YBR156C	0	0	0	0	0	0	0	0	5
YBR157C	0	0	0	0	0	0	0	0	5
YBR158W	0	0	0	0	0	0	0	0	5
YBR159W	0	0	0	0	0	0	0	0	5
YBR160W	0	0	0	0	0	0	0	0	5
YBR161W	0	0	0	0	0	0	0	0	5
YBR162W-A	0	0	0	0	0	0	0	0	5
YBR163W	0	5	0	0	0	0	0	0	5
YBR164C	0	0	0	0	0	0	0	0	5
YBR165W	0	0	0	0	0	0	0	0	5
YBR166C	0	0	0	0	0	0	0	0	5
YBR167C	0	0	0	0	0	0	0	0	5
YBR168W	0	0	0	0	0	0	0	0	5
YBR170C	0	0	0	0	0	0	0	0	5
YBR171W	0	0	0	0	0	0	0	0	5
YBR172C	0	0	0	0	0	0	0	0	5
YBR173C	0	0	0	0	0	0	0	0	5
YBR174C	0	0	0	0	0	0	0	0	5
YBR175W	0	0	0	0	0	0	0	0	5
YBR176W	0	0	0	0	0	0	0	0	5
YBR177C	0	0	0	0	0	0	0	0	5
YBR178W	0	0	0	0	0	0	0	0	5
YBR179C	0	0	0	0	0	11	0	0	5
YBR180W	0	0	0	0	0	0	0	0	5
YBR182C	0	0	0	0	0	0	0	0	5
YBR183W	0	0	0	0	0	0	0	0	5
YBR184W	0	0	0	0	0	0	0	0	5
YBR185C	0	0	0	0	0	0	0	0	5
YBR186W	0	0	0	0	0	0	0	0	5
YBR187W	0	0	0	0	0	0	0	0	5
YBR188C	0	0	0	0	0	0	0	0	5
YBR190W	0	0	0	0	0	0	0	0	5
YBR192W	0	0	0	0	0	0	0	0	5
YBR193C	0	0	0	0	0	0	0	0	5
YBR194W	0	0	0	0	0	0	0	0	5
YBR195C	0	0	0	0	0	0	0	0	5
YBR197C	0	0	0	0	0	0	0	0	5
YBR198C	0	0	0	0	0	0	0	0	5
YBR200W	0	0	0	0	0	0	0	0	5
YBR201W	0	0	0	0	0	0	0	0	5
YBR202W	0	0	16	0	0	0	0	0	5
YBR204C	0	0	0	0	23	0	0	0	5
YBR205W	0	0	0	0	0	0	0	0	5
YBR206W	0	0	0	0	0	0	0	0	5
YBR207W	0	0	0	0	0	0	0	0	5
YBR209W	0	0	0	0	0	0	0	0	5
YBR210W	0	0	0	0	0	0	0	0	5
YBR211C	0	0	0	0	11	0	0	0	5
YBR213W	0	0	0	0	0	0	0	0	5
YBR214W	0	0	0	0	0	0	0	0	5
YBR215W	0	0	0	0	0	0	0	0	5
YBR216C	0	0	0	0	0	0	0	0	5
YBR217W	0	0	0	0	0	0	0	0	5
YBR219C	0	0	0	0	0	0	0	0	5
YBR220C	0	0	0	0	0	0	0	0	5
YBR222C	0	0	0	0	0	0	0	70	5
YBR223C	0	0	0	0	0	0	0	0	5
YBR224W	0	0	0	0	0	0	0	0	5
YBR225W	0	0	0	0	0	0	0	0	5
YBR226C	0	0	0	0	0	0	0	0	5
YBR227C	0	0	48	0	0	0	0	0	5
YBR228W	0	0	0	0	29	0	0	0	5
YBR229C	0	0	0	0	0	0	0	0	5
YBR230C	0	0	98	0	0	0	0	0	5
YBR231C	0	0	0	0	0	0	0	0	5
YBR232C	0	0	0	0	0	0	0	0	5
YBR233W	0	0	0	0	0	0	0	0	5
YBR234C	0	0	0	0	0	0	0	0	5
YBR236C	0	0	0	0	0	0	0	0	5
YBR237W	0	0	0	0	0	0	0	0	5
YBR238C	0	0	0	0	0	0	0	0	5
YBR239C	0	0	0	0	0	0	0	0	5
YBR240C	0	0	0	0	0	0	0	0	5
YBR241C	0	0	0	0	0	0	0	0	5
YBR242W	0	0	0	0	0	0	0	0	5
YBR243C	0	0	0	0	0	0	0	0	5
YBR244W	0	0	0	0	0	0	0	198	5
YBR246W	0	0	0	0	0	0	0	0	5
YBR247C	0	0	12	0	0	0	0	0	5
YBR250W	0	14	0	16	0	0	0	0	5
YBR251W	0	0	0	0	0	0	0	0	5
YBR253W	0	0	0	0	0	0	0	0	5
YBR254C	0	0	0	0	0	0	0	0	5
YBR255W	0	0	0	0	0	0	0	0	5
YBR256C	0	0	0	0	0	0	0	0	5
YBR257W	0	0	0	0	0	0	0	0	5
YBR258C	0	91	0	0	0	0	0	0	5
YBR259W	0	0	0	0	0	0	0	0	5
YBR260C	0	0	0	0	0	0	0	0	5
YBR262C	0	0	0	0	0	0	0	0	5
YBR264C	0	0	0	0	0	0	0	0	5
YBR265W	0	0	0	0	0	0	0	0	5
YBR266C	0	0	0	0	0	0	0	0	5
YBR267W	0	0	0	0	0	0	0	0	5
YBR268W	0	0	0	0	0	0	0	0	5
YBR269C	0	0	0	0	0	0	0	91	5
YBR270C	0	0	0	0	0	0	0	0	5
YBR271W	0	0	0	0	0	0	0	0	5
YBR272C	0	0	0	0	0	0	0	0	5
YBR273C	0	0	0	0	0	0	0	0	5
YBR274W	0	19	0	0	0	0	0	0	5
YBR276C	0	0	0	0	0	0	0	0	5
YBR277C	0	0	0	0	0	0	0	0	5
YBR278W	0	0	0	0	0	0	0	0	5
YBR280C	0	0	0	0	0	0	0	0	5
YBR281C	0	0	0	0	0	0	47	0	5
YBR282W	0	0	0	0	0	0	0	0	5
YBR283C	0	0	0	0	0	0	0	0	5
YBR284W	0	0	0	0	48	0	0	0	5
YBR285W	0	0	0	0	0	0	0	0	5
YBR287W	0	0	0	0	0	0	0	0	5
YBR288C	0	0	0	0	0	0	0	0	5
YBR289W	0	0	0	0	0	0	0	0	5
YBR290W	0	0	0	0	0	0	0	0	5
YBR291C	0	0	0	0	0	0	0	0	5
YBR292C	0	0	0	0	0	0	0	0	5
YBR294W	0	0	0	0	0	0	0	0	5
YBR296C	0	0	0	0	0	0	0	0	5
YBR297W	0	0	0	0	0	0	0	0	5
YBR298C	0	0	0	0	0	0	0	0	5
YBR299W	0	0	0	0	0	0	0	0	5
YBR300C	0	0	0	0	0	0	0	0	5
YBR301W	0	0	0	0	0	0	0	0	5
YBR302C	0	0	0	0	0	0	0	0	5
YCL001W	0	0	0	0	0	0	0	0	5
YCL002C	0	0	0	0	0	0	0	0	5
YCL004W	0	0	0	0	0	0	0	0	5
YCL005W	0	0	0	0	0	0	0	0	5
YCL006C	0	0	0	0	0	0	0	0	5
YCL007C	0	0	0	0	0	0	0	0	5
YCL008C	0	0	0	0	0	0	0	0	5
YCL010C	0	0	0	0	0	0	0	0	5
YCL011C	0	0	0	0	0	0	0	0	5
YCL012W	0	0	0	0	0	0	0	0	5
YCL016C	0	0	0	0	0	0	0	0	5
YCL017C	0	0	0	0	0	0	0	0	5
YCL020W	0	0	0	0	0	0	0	0	5
YCL022C	0	0	0	0	0	0	0	0	5
YCL023C	0	0	0	0	0	0	0	0	5
YCL024W	0	3	0	0	0	0	0	0	5
YCL025C	0	0	0	0	0	0	0	0	5
YCL026C-B	0	16	37	183	492	599	749	779	5
YCL027W	0	0	0	0	0	0	0	0	5
YCL028W	0	0	0	0	0	0	0	0	5
YCL029C	0	0	0	0	0	0	0	444	5
YCL031C	0	0	0	0	0	0	0	0	5
YCL032W	0	0	0	0	0	0	0	0	5
YCL033C	0	0	0	0	0	0	0	0	5
YCL034W	0	0	0	0	0	0	0	0	5
YCL036W	0	0	0	0	36	0	0	0	5
YCL038C	0	0	0	0	0	0	0	0	5
YCL040W	0	0	0	0	0	0	0	1500	5
YCL041C	0	0	0	0	0	0	0	0	5
YCL042W	0	0	0	0	0	0	0	0	5
YCL045C	0	0	0	0	0	0	0	0	5
YCL046W	0	0	0	0	0	0	0	0	5
YCL047C	0	0	0	0	0	0	0	0	5
YCL048W	0	0	0	0	0	0	0	0	5
YCL049C	0	0	0	0	0	0	0	0	5
YCL052C	0	0	0	0	0	0	0	0	5
YCL054W	0	0	0	0	0	11	0	0	5
YCL055W	0	0	0	0	0	0	0	0	5
YCL056C	0	0	0	0	0	0	0	0	5
YCL058C	0	0	0	0	0	0	0	0	5
YCL059C	0	0	0	0	0	0	0	0	5
YCL061C	0	12	0	0	0	0	0	0	5
YCL063W	0	0	0	0	0	0	0	0	5
YCL064C	0	0	0	0	0	0	0	0	5
YCL065W	0	0	0	0	0	0	0	0	5
YCL066W	0	0	0	0	0	0	0	0	5
YCL067C	0	0	0	0	0	0	0	0	5
YCL068C	0	0	0	0	0	0	0	0	5
YCL069W	0	0	0	0	0	0	0	0	5
YCL073C	0	0	0	0	0	0	0	0	5
YCL074W	0	0	0	0	0	0	0	0	5
YCL075W	0	0	0	0	0	0	0	0	5
YCL076W	0	0	0	0	0	0	0	0	5
YCR001W	0	0	0	0	0	0	0	0	5
YCR002C	0	0	0	0	0	0	0	0	5
YCR003W	0	0	0	0	0	0	0	0	5
YCR005C	0	0	0	0	0	0	0	0	5
YCR006C	0	0	0	0	0	0	0	0	5
YCR007C	0	0	0	0	0	0	0	0	5
YCR008W	0	0	0	0	0	0	0	0	5
