"diam$X"	"R0"	"R10"	"R20"	"R30"	"R40"	"R60"	"R90"
"1326"	"YBL093C"	1.52	1.46	1.37	1.31	1.78	2.8	1.82
"1327"	"YBL094C"	1.06	1.14	0.94	0.89	0.96	1.12	0.98
"1328"	"YBL095W"	0.89	0.98	0.85	0.85	0.89	1.01	0.94
"1329"	"YBL096C"	1.12	1.01	0.9	1	0.96	1.01	0.93
"1330"	"YBL097W"	0	0	0	0	0	0	0
"1331"	"YBL098W"	0.73	0.75	0.71	0.6	0.69	0.77	0.98
"1332"	"YBL100C"	0	0	0	0	0	0	0
"1333"	"YBL100W-B"	0	0	0	0	0	0	0
"1334"	"YBL101C"	0.97	1.51	1.89	1.47	1.76	1.18	1.06
"1335"	"YBL101W-A"	0	0	0	0	0	0	0
"1336"	"YBL101W-B"	0	0	0	0	0	0	0
"1337"	"YBL102W"	2.24	2.98	3.31	3.64	4.07	2.74	2.74
"1338"	"YBL103C"	0.36	0.29	0.32	0.32	0.31	0.27	0.27
"1339"	"YBL104C"	0.89	0.63	0.79	0.79	0.85	0.87	0.93
"1340"	"YBL107C"	1.43	2.56	3.29	3.11	3.67	3.93	2.2
"1341"	"YBL108W"	0	0	0	0	0	0	0
"1342"	"YBL109W"	0	0	0	0	0	0	0
"1343"	"YBL111C"	0.49	0.45	0.47	0.5	0.5	0.39	0.45
"1344"	"YBL112C"	1.28	1.11	1.11	1.25	1.33	1.04	1.07
"1345"	"YBL113C"	2.96	2.9	3.38	3.28	3.35	2.58	2.78
"1346"	"YBR001C"	0.62	1.68	2.12	2.4	2.73	0.94	0.88
"1347"	"YBR003W"	0.4	0.09	0.46	0.2	0.11	0.2	0
"1348"	"YBR004C"	1.84	1.53	1.31	1.57	1.61	3	2.06
"1349"	"YBR005W"	3.53	5.03	4.35	5.43	5.9	17.51	8.28
"1350"	"YBR006W"	0	0	0	0	0	0	0
"1351"	"YBR008C"	1.63	7.7	6.52	4.1	5.45	6.57	4.21
"1352"	"YBR010W"	32.24	48.86	37.81	23.6	22.95	39.14	38.6
"1353"	"YBR012C"	0.79	0.66	0.66	0.72	0.67	1.16	0.78
"1354"	"YBR012W-A"	0	0	0	0	0	0	0
"1355"	"YBR012W-B"	0	0	0	0	0	0	0
"1356"	"YBR013C"	0.85	0.73	0.69	0.71	1.1	1.06	0.87
"1357"	"YBR014C"	1.74	2.5	3.58	3.25	3.46	2.83	2.58
"1358"	"YBR015C"	1.32	1.15	1.26	1.31	1.48	1.38	1.31
"1359"	"YBR016W"	2.49	3.89	4.65	4.08	4.31	4.11	3.65
"1360"	"YBR017C"	1.93	1.14	1.1	1.01	1.53	1.43	1.66
"1361"	"YBR018C"	0.37	0.38	0.42	0.56	0.17	0.35	0.31
"1362"	"YBR019C"	0	0	0	0	0	0	0
"1363"	"YBR020W"	0.55	0.47	0.45	0.43	0.28	0.35	0.44
"1364"	"YBR021W"	0.69	0.21	0.2	0.23	0.27	0.35	0
"1365"	"YBR022W"	1.16	1.48	1.41	1.41	1.09	1.41	1.27
"1366"	"YBR023C"	2.14	1.2	1.24	1.55	2.04	2.57	2.06
"1367"	"YBR024W"	0.99	1.48	1.75	1.61	1.02	1.6	1.05
"1368"	"YBR027C"	0.66	0.71	0.56	0.56	0.6	0.54	0.62
"1369"	"YBR029C"	1.89	1.68	1.85	2.27	2.53	1.78	2.1
"1370"	"YBR030W"	0.6	0.35	0.29	0.34	0.39	0.46	0.55
"1371"	"YBR032W"	0.6	0.46	0.38	0.42	0.34	0.42	0.34
"1372"	"YBR036C"	2.39	3.16	2.85	3.29	3.09	3.41	2.87
"1373"	"YBR037C"	0.87	2.43	3.34	2.93	3.16	1.41	1.05
"1374"	"YBR038W"	1.8	1.54	1.74	1.81	1.5	1.2	1.7
"1375"	"YBR039W"	0	0	0	0	0	0	0
"1376"	"YBR040W"	0.35	0.22	0.22	0.31	0.21	0.48	0.49
"1377"	"YBR041W"	2.35	2.54	2.52	2.7	0	2.21	1.86
"1378"	"YBR042C"	1.37	1.4	1.24	1.13	1.23	1.41	1.41
"1379"	"YBR043C"	0.9	0.52	0.58	0.69	0.95	1.18	1.38
"1380"	"YBR044C"	0.42	0.56	0.62	0.55	0.47	0.37	0.44
"1381"	"YBR045C"	0	0	0	0	0	0	0
"1382"	"YBR046C"	0.72	1.95	1.93	3.22	2.53	2.11	1.43
"1383"	"YBR047W"	0.54	1.74	0.9	1.44	1.26	1.01	0.49
"1384"	"YBR050C"	0.57	1.27	0.73	1.43	0.92	0.96	0.71
"1385"	"YBR051W"	0	0	0	0	0	0	0
"1386"	"YBR052C"	1.95	8.32	11.28	10.82	9.49	6.35	3.62
"1387"	"YBR054W"	2.66	4.17	3.3	2.35	2.16	6.15	1.71
"1388"	"YBR055C"	1.51	1.1	0.99	0.99	1.21	1.23	1.19
"1389"	"YBR056W"	2.53	7.2	10.39	11.85	9.3	6.09	3.88
"1390"	"YBR057C"	0.52	0.41	0.43	0.43	0.46	0.41	0.42
"1391"	"YBR060C"	0.51	0.4	0.36	0.36	0.41	0.36	0.44
"1392"	"YBR061C"	1.2	0.61	0.47	0.45	0.66	1.12	1.17
"1393"	"YBR062C"	2.15	5.29	5.44	5.52	5.15	5.04	3.1
"1394"	"YBR063C"	0.67	0.46	0.52	0.55	0.61	0.65	0.69
"1395"	"YBR064W"	0	0	0	0	0	0	0
"1396"	"YBR065C"	0.45	0.24	0.26	0.29	0.34	0.44	0.43
"1397"	"YBR066C"	1.22	1.34	1.68	1.31	1.59	1.11	1.85
"1398"	"YBR068C"	5	6.64	7.52	8.52	8.94	11.72	7.27
"1399"	"YBR069C"	3.07	1.32	0.8	0.89	1.11	2.08	2.33
"1400"	"YBR070C"	1.01	1.32	1.22	1.06	1.27	1.34	1.32
"1401"	"YBR071W"	0.91	1.11	1.01	1.16	1.72	2.16	1.44
"1402"	"YBR074W"	0.64	0.28	0.33	0	0.43	0.44	0.53
"1403"	"YBR075W"	1.13	0.82	0.69	0.69	0.81	0.81	0.92
"1404"	"YBR076W"	0.98	1.12	1	1.13	1.08	1.3	1.05
"1405"	"YBR077C"	1.37	2.3	2.12	2.01	2.14	2.05	1.66
"1406"	"YBR080C"	1.3	1.41	1.7	1.56	1.81	1.65	1.55
"1407"	"YBR082C"	11.17	32.27	39.73	29.08	32.49	36.81	25.49
"1408"	"YBR083W"	0.96	1.43	2.08	1.73	2.01	0.71	1.25
"1409"	"YBR084C-A"	18.48	26.13	15.75	10.18	9.63	13.81	14.6
"1410"	"YBR085W"	1.1	1.62	1.33	1.29	1.15	0.92	0.94
"1411"	"YBR086C"	2.37	1.91	2.2	1.94	1.96	1.32	1.67
"1412"	"YBR087W"	1.8	2.01	1.69	1.54	1.54	2.04	1.72
"1413"	"YBR089C-A"	0	0	0	0	0	0	0
"1414"	"YBR089W"	1.14	0.9	0.71	1.1	0.85	0.91	0.9
"1415"	"YBR090C"	2.57	6.28	7.17	7.17	7.95	5.47	3.71
"1416"	"YBR091C"	1.37	1.67	1.52	1.59	1.43	1.62	1.41
"1417"	"YBR093C"	0.89	0.37	0.19	0.2	0.31	0.57	0.35
"1418"	"YBR094W"	0.72	0.62	0.68	0.71	0.68	0.61	0.72
"1419"	"YBR095C"	0.85	0.7	0.69	0.58	0.83	0.8	0.98
"1420"	"YBR096W"	2.55	4.62	4.5	4.56	3.97	3.31	2.83
"1421"	"YBR097W"	1.42	1.39	1.74	1.55	1.36	1.38	1.09
"1422"	"YBR098W"	0	0	0	0	0	0	0
"1423"	"YBR099C"	0.74	1.2	0.84	0.66	0.61	0.71	0.91
"1424"	"YBR100W"	0.51	0.67	0.57	0.5	0.41	0.49	0.52
"1425"	"YBR102C"	0.44	0.35	0.36	0.39	0.39	0.35	0.42
"1426"	"YBR103W"	1.05	0.95	1.05	1.01	1.08	0.9	1.32
"1427"	"YBR104W"	0.94	0.51	0.34	0.49	0.52	0.94	0.84
"1428"	"YBR105C"	1.33	1.44	1.52	1.74	1.99	2.59	1.99
"1429"	"YBR106W"	10.52	16.62	15.73	15.84	18.44	20.61	16.39
"1430"	"YBR107C"	0.57	0.54	0.59	0.65	0.7	0.96	0.89
"1431"	"YBR108W"	0	0	0	0	0	0	0
"1432"	"YBR109C"	5.96	8.42	8.36	8.08	9.15	10.02	7.64
"1433"	"YBR110W"	0.79	0.9	0.81	0.85	0.99	0.9	0.9
"1434"	"YBR111W-A"	0	0	0	0	0	0	0
"1435"	"YBR112C"	1.74	1.69	1.74	1.48	1.88	1.34	1.52
"1436"	"YBR113W"	0.91	0	0.79	0.77	0.87	0.68	0.71
"1437"	"YBR114W"	0.54	0.6	0.64	0.7	0.53	0.81	0.51
"1438"	"YBR116C"	0	0	0	0	0	0	0
"1439"	"YBR117C"	0.35	0.34	0.35	0.57	0.65	0.35	0.31
"1440"	"YBR119W"	1.26	1.39	1.26	1.29	1.18	1.16	1.51
"1441"	"YBR120C"	1.61	2.79	3.02	2.74	1.48	1.5	1.33
"1442"	"YBR122C"	1.57	2.76	2.78	2.32	2.04	1.68	1.42
"1443"	"YBR123C"	0.77	0.78	0.77	0.79	0.8	0.64	0.77
"1444"	"YBR124W"	0	0	0	0	0	0	0
"1445"	"YBR125C"	0.84	0.92	0.84	0.84	0.97	0.88	0.82
"1446"	"YBR128C"	0.77	0.9	0.82	0.84	0.59	0.76	0.81
"1447"	"YBR129C"	0.98	1.49	1.46	1.38	1.45	1.26	1.15
"1448"	"YBR131W"	0.44	0.25	0.29	0.31	0.39	0.36	0.43
"1449"	"YBR132C"	0.55	1.27	1.41	1.36	1.06	0.69	0.23
"1450"	"YBR133C"	1.37	1.06	1.1	1.12	1.34	0.92	1.38
"1451"	"YBR134W"	0	0	0	0	0	0	0
"1452"	"YBR137W"	1.28	2.62	2.99	3.51	3.92	2.97	2.3
"1453"	"YBR138C"	0.37	0.42	0.38	0.5	0.46	0.21	0.4
"1454"	"YBR139W"	0	0	0	0	0	0	0
"1455"	"YBR141C"	0.65	0.39	0.31	0.45	0.49	0.68	0.66
"1456"	"YBR142W"	1.77	0.69	0.62	0.59	0.75	1.06	1.32
"1457"	"YBR143C"	9.46	7.27	4.73	4.18	5.21	7.96	7.85
"1458"	"YBR144C"	0	0	0	0	0	0	0
"1459"	"YBR146W"	1.55	2.3	2.5	2.55	2.29	1.67	1.21
"1460"	"YBR147W"	0	0	0	0	0	0	0
"1461"	"YBR148W"	0.65	0.6	0.57	0.74	0.6	0.59	0.62
"1462"	"YBR150C"	0.63	0.74	0.76	0.77	0.71	0.53	0.54
"1463"	"YBR151W"	2.05	3.28	3.44	3.74	3.59	3.02	2.4
"1464"	"YBR152W"	0	0	0	0	0	0	0
"1465"	"YBR153W"	0.91	0.81	0.68	0.68	0.8	1.11	0.89
"1466"	"YBR154C"	4.79	3.63	2.3	2.5	2.59	3.84	3.84
"1467"	"YBR155W"	1.26	0.46	0.46	0.48	0.62	1.06	1.18
"1468"	"YBR156C"	0.84	0.66	0.58	0.54	0.66	0.62	0.74
"1469"	"YBR157C"	0.71	0.92	0.78	0.88	0.96	0.71	0.86
"1470"	"YBR158W"	2.81	1.88	1.77	2.29	2.7	3.06	2.33
"1471"	"YBR159W"	4.56	5.17	4.44	4.28	4.66	4.96	4.75
"1472"	"YBR160W"	1.53	1.96	2.16	1.81	2.13	1.92	1.87
"1473"	"YBR161W"	0.61	0.62	0.72	0.59	0.61	0.59	0.61
"1474"	"YBR162W-A"	0	0	0	0	0	0	0
"1475"	"YBR163W"	0.89	0.68	0.61	0.61	0.73	0.87	0.89
"1476"	"YBR164C"	2.04	2.88	2.56	1.98	2	2.28	2
"1477"	"YBR165W"	1.21	0	0	0	0	0	0
"1478"	"YBR166C"	1.04	0.99	0.94	0.89	1.09	1.56	1.15
"1479"	"YBR167C"	0.84	0	0	0	0	0	0
"1480"	"YBR168W"	0.46	0.63	0.75	0.67	0.86	0.65	0.58
"1481"	"YBR170C"	0.84	1.57	2.27	1.99	2.4	1.9	1.32
"1482"	"YBR171W"	2.68	3.51	3.87	3.46	4.06	4.97	3.76
"1483"	"YBR172C"	1	0.58	0.47	0.55	0.68	0.75	0.78
"1484"	"YBR173C"	2.51	5.7	7.57	5.9	6.96	7.36	4.03
"1485"	"YBR174C"	0	0	0	0	0	0	0
"1486"	"YBR175W"	0.98	1.41	1.52	1.4	1.49	1.55	1.08
"1487"	"YBR176W"	0.61	0.81	0.76	0.68	0.82	0.81	0.88
"1488"	"YBR177C"	2.05	3.52	3.5	3.06	3.2	2.08	2.29
"1489"	"YBR178W"	0	0	0	0	0	0	0
"1490"	"YBR179C"	0.84	0.97	1.25	1.03	1.33	0.91	1.03
"1491"	"YBR180W"	0.35	0	0.29	0.33	0.35	0.38	0.15
"1492"	"YBR182C"	0	0	0	0	0	0	0
"1493"	"YBR183W"	1.58	5.59	5.91	6.69	3.02	3.79	1.72
"1494"	"YBR184W"	0	0	0	0	0	0	0
"1495"	"YBR185C"	2.17	3.95	4.29	4.17	3.25	2.71	2.48
"1496"	"YBR186W"	0	0	0	0	0	0	0
"1497"	"YBR187W"	3.99	3.19	2.11	1.83	2.2	2.7	3.15
"1498"	"YBR188C"	0.98	1	0.86	0.83	0.94	0.98	0.94
"1499"	"YBR190W"	0.81	0.83	0.71	0.55	0.47	0.59	0.53
"1500"	"YBR192W"	0.96	0.95	1.04	1	1.1	0.92	0.93
"1501"	"YBR193C"	0.65	0.74	0.77	0.77	0.7	0.8	0.74
"1502"	"YBR194W"	0.61	0.76	0.82	0.88	0.83	0.84	0.75
"1503"	"YBR195C"	0.67	0.57	0.56	0.63	0.6	0.79	0.78
"1504"	"YBR197C"	0.6	0.5	0.48	0.53	0.49	0.68	0.64
"1505"	"YBR198C"	1.06	0.74	0.72	0.79	1.08	0.87	1.05
"1506"	"YBR200W"	0.73	0.66	0.66	0.66	0.84	0.73	0.77
"1507"	"YBR201W"	1.07	0	0	0	0	0	0
"1508"	"YBR202W"	0.76	0.42	0.43	0.4	0.59	0.4	0.41
"1509"	"YBR204C"	0.6	1.17	1.35	1.25	1.38	1	0.77
"1510"	"YBR205W"	1.35	1.54	1.45	1.39	1.5	1.7	1.45
"1511"	"YBR206W"	2.65	3.01	2.58	2.41	3.01	2.81	2.94
"1512"	"YBR207W"	1.62	2.03	1.84	1.83	2.02	1.98	2.02
"1513"	"YBR209W"	0	0	0	0	0	0	0
"1514"	"YBR210W"	1.6	1.96	1.52	1.54	1.67	1.67	1.45
"1515"	"YBR211C"	1.26	1.48	1.43	1.21	1.02	1.2	1.3
"1516"	"YBR213W"	1.14	0.93	0.86	1.05	0.63	0.85	0.82
"1517"	"YBR214W"	1.44	3.71	4.14	3.78	2.91	2.39	1.85
"1518"	"YBR215W"	1.59	1.22	1.37	1.22	1.18	1.22	1.58
"1519"	"YBR216C"	1.06	1.01	1.11	1.03	1.33	0.91	1.1
"1520"	"YBR217W"	2.05	2.01	1.88	1.7	1.37	1.76	1.85
"1521"	"YBR219C"	1.16	0.95	0.86	0.84	0.9	1.11	1.21
"1522"	"YBR220C"	1.23	0.95	0.7	0.82	1.09	1.19	0
"1523"	"YBR222C"	0.97	1.36	1.65	2.34	0	1.7	2.44
"1524"	"YBR223C"	2.97	0	0	2.73	2.22	0	0.86
"1525"	"YBR224W"	0	0	0	0	0	0	0
"1526"	"YBR225W"	1.05	1.14	1.21	1.2	1.28	1.07	1.11
"1527"	"YBR226C"	0.9	0.86	0.89	1.14	0.6	0.53	0.55
"1528"	"YBR227C"	0.54	0.54	0.56	0.5	0.45	0.47	0.55
"1529"	"YBR228W"	0.9	1.03	0.86	0.91	0.99	0.78	0.93
"1530"	"YBR229C"	0.95	0.83	0.95	1.21	1.34	0.89	0.99
"1531"	"YBR230C"	2.16	12.39	14.94	17.89	14.73	4.03	3.03
"1532"	"YBR231C"	0.67	0.99	0.92	1.14	1.25	1.12	1.03
"1533"	"YBR232C"	0	0	0	0	0	0	0
"1534"	"YBR233W"	0.36	0.41	0.49	0.49	0.61	0.61	0.61
"1535"	"YBR234C"	3.47	5.33	5.11	5.18	5.11	4.45	3.3
"1536"	"YBR236C"	1.12	1.14	1.07	1.05	1.2	1.01	1.17
"1537"	"YBR237W"	0.55	0.41	0.51	0.44	0.47	0.37	0.52
"1538"	"YBR238C"	0.9	0.2	0.14	0.14	0.18	1.02	0.44
"1539"	"YBR239C"	0.32	0.23	0.25	0.23	0.27	0.27	0.29
"1540"	"YBR240C"	0	0	0	0	0	0	0
"1541"	"YBR241C"	0.68	1.16	1.5	2.45	2.21	1.67	1.13
"1542"	"YBR242W"	1.64	1.2	0.82	0.95	1.01	1.31	1.65
"1543"	"YBR243C"	1.16	1.32	1.15	1.26	1.43	1.42	1.68
"1544"	"YBR244W"	2.44	13.22	10.89	8.2	7.75	6.34	3.93
"1545"	"YBR246W"	1.66	1.31	1.18	1.2	1.4	1.74	1.48
"1546"	"YBR247C"	1.21	0.32	0.25	0.27	0.39	0.65	0.9
"1547"	"YBR250W"	0	0	0	0	0	0	0
"1548"	"YBR251W"	0.65	1.06	0.99	1.01	0.88	0.63	0.59
"1549"	"YBR253W"	0.99	1.42	1.1	1.19	1.16	1.15	1.14
"1550"	"YBR254C"	1.34	1.62	1.14	1.21	1.33	1.45	1.48
"1551"	"YBR255W"	0.51	0.56	0.62	0.55	0.66	0.52	0.54
"1552"	"YBR256C"	2.18	5.23	5.6	4.95	4.81	3.7	3
"1553"	"YBR257W"	1.02	0.91	0.88	0.88	0.93	1	0.98
"1554"	"YBR258C"	0.72	0.79	0.74	0.66	0.73	0.77	0.61
"1555"	"YBR259W"	0.7	0.64	0.67	0.64	0.78	0.83	0.99
"1556"	"YBR260C"	0.61	0.66	0.83	0.76	1	0.87	0.62
"1557"	"YBR262C"	1.99	3.17	3.04	3.21	2.7	2.8	2.08
"1558"	"YBR264C"	0.97	1.21	1.12	1.02	1.01	1.14	1.09
"1559"	"YBR265W"	0.97	1.03	0.95	0.97	1.14	1.16	1.08
"1560"	"YBR266C"	0	0	0	0	0	0	0
"1561"	"YBR267W"	1.15	0.38	0.28	0.42	0.47	1.13	1.02
"1562"	"YBR268W"	1.41	2.5	2.85	2.6	2.46	2.03	1.38
"1563"	"YBR269C"	0	0	0	0	0	0	0
"1564"	"YBR270C"	0	0	0	0	0	0	0
"1565"	"YBR271W"	0	0	0	0	0	0	0
"1566"	"YBR272C"	0.8	1.01	1.06	0.94	1.01	1.03	0.96
"1567"	"YBR273C"	1.45	2.41	3.02	2.53	2.58	2.39	1.97
"1568"	"YBR274W"	0.97	0.86	1.02	1.01	1.19	1.19	1.14
"1569"	"YBR276C"	1.2	0.8	0.84	0.79	1.07	1.2	1.27
"1570"	"YBR277C"	0	0	0	0	0	0	0
"1571"	"YBR278W"	0.91	1.15	1.07	0.93	0.99	1.01	1.06
"1572"	"YBR280C"	0.42	0.71	0.95	1.12	0.89	0.47	0.44
"1573"	"YBR281C"	1.01	0.92	1.06	0.96	0.92	0.95	0.95
"1574"	"YBR282W"	2.04	3.6	3.85	3.7	3.05	2.26	1.74
"1575"	"YBR283C"	4.1	3.9	3.9	4.21	4.64	4.21	3.64
"1576"	"YBR284W"	0	0	0	0	0	0	0
"1577"	"YBR285W"	0.84	1.4	2.64	6.41	1.92	2.16	1.27
"1578"	"YBR287W"	3.35	6.2	6.51	7.08	5.67	8.18	4.24
"1579"	"YBR288C"	1.1	1.18	1.09	1.01	1.1	1.03	1.03
"1580"	"YBR289W"	0.88	0.81	0.9	0.82	0.93	0.79	0.87
"1581"	"YBR290W"	0	0	0	0	0	0	0
"1582"	"YBR291C"	2.33	1.82	1.33	1.43	1.5	1.5	1.66
"1583"	"YBR292C"	0.72	0.59	0.48	0.61	0.69	0.76	0.76
"1584"	"YBR294W"	0	0	0	0	0	0	0
"1585"	"YBR296C"	0.9	0.39	0.33	0.47	0.62	0.86	0.34
"1586"	"YBR297W"	0.29	0.71	0.82	0.61	0.37	0.26	0.27
"1587"	"YBR298C"	0.36	0.68	0.7	0.5	0.36	0.23	0.28
"1588"	"YBR299W"	0	0	0	0	0	0	0
"1589"	"YBR300C"	0.26	0.18	0.15	0.18	0.16	0.21	0
"1590"	"YBR301W"	0.42	0.4	0.42	0.44	0.47	0.59	0.53
"1591"	"YBR302C"	1.73	2.43	2.35	2.24	2.38	2.45	2.24
"1592"	"YCL001W"	1.56	3.54	1.99	1.44	1.44	1.04	2.07
"1593"	"YCL002C"	1.29	1.18	0.98	0.9	0.92	1.14	1.12
"1594"	"YCL004W"	0	0	0	0	0	0	0
"1595"	"YCL005W"	0.76	0.74	0.66	0.65	0.62	0.78	0.74
"1596"	"YCL006C"	0	0	0	0	0	0	0
"1597"	"YCL007C"	0.67	0.87	0.72	0.64	0.6	0.75	0.62
"1598"	"YCL008C"	0.71	0.73	0.78	0.81	0.85	0.78	0.62
"1599"	"YCL010C"	0.99	1.03	1.09	1.12	1.16	0.89	0.96
"1600"	"YCL011C"	4.42	6.56	5.36	4.3	3.93	3.77	5.11
"1601"	"YCL012W"	0	0	0	0	0	0	0
"1602"	"YCL016C"	0.65	0.86	0.7	0.74	0.77	0.71	0.93
"1603"	"YCL017C"	1.34	1.44	1.34	1.34	1.68	1.38	1.64
"1604"	"YCL020W"	0	0	0	0	0	0	0
"1605"	"YCL022C"	0	0	0	0	0	0	0
"1606"	"YCL023C"	0.48	0.38	0.34	0.36	0.37	0.3	0.31
"1607"	"YCL024W"	0	0	0	0	0	0	0
"1608"	"YCL025C"	1.81	2.48	2.64	2.6	2.56	1.97	2.1
"1609"	"YCL026C-B"	0	0	0	0	0	0	0
"1610"	"YCL027W"	0.73	0.72	0.84	0.85	0.77	0.65	0.91
"1611"	"YCL028W"	2.26	2.68	2.56	2.27	2.57	2.52	2.59
"1612"	"YCL029C"	0.74	0.45	0.46	0.48	0.51	0.61	0.62
"1613"	"YCL031C"	2.48	1.94	1.62	1.46	1.49	1.84	1.85
"1614"	"YCL032W"	1	1.17	1.24	1.11	1.03	0.96	1
"1615"	"YCL033C"	1.49	2.78	2.84	2.9	2.7	2.37	2.4
"1616"	"YCL034W"	1.46	2.85	2.95	2.95	2.45	1.6	2.06
"1617"	"YCL036W"	1.88	0.68	0.79	0.96	0.81	1.22	1.6
"1618"	"YCL038C"	0.8	1.09	0.99	1.59	1.54	1.74	1.41
"1619"	"YCL040W"	2.72	27.88	39.7	49.21	34.08	16.23	7.68
"1620"	"YCL041C"	0	0	0	0	0	0	0
"1621"	"YCL042W"	0.76	4.51	6.66	5.33	6.61	3.28	1.77
"1622"	"YCL045C"	1.89	1.64	1.5	1.55	1.64	1.1	1.64
"1623"	"YCL046W"	0	0	0	0	0	0	0
"1624"	"YCL047C"	0.71	0.78	0.66	0.64	0.75	0.89	1.11
"1625"	"YCL048W"	0.91	1.15	0.84	0.95	0.69	0.84	0.76
"1626"	"YCL049C"	0.53	0.71	0.75	0.9	1.13	1.55	0.95
"1627"	"YCL052C"	0.78	1.17	1.49	1.29	1.25	1.06	0.96
"1628"	"YCL054W"	2.01	0.54	0.36	0.54	0.64	1.11	1.49
"1629"	"YCL055W"	1.1	1.43	1.67	1.68	1.88	1.8	1.67
"1630"	"YCL056C"	1.67	2.57	3.12	3.03	3.36	2.79	2.1
"1631"	"YCL058C"	1.81	2.06	1.54	1.9	1.57	2.09	2.13
"1632"	"YCL059C"	2.71	1.3	0.46	0.38	0.51	1.68	2.33
"1633"	"YCL061C"	0.9	0.64	0.56	0.64	0.65	0.64	0.65
"1634"	"YCL063W"	0.6	0.33	0.34	0.31	0.39	0.33	0.4
"1635"	"YCL064C"	4.83	7.9	11.17	10.28	10.35	7.12	5.32
"1636"	"YCL065W"	0	0	0	0	0	0	0
"1637"	"YCL066W"	0	0	0	0	0	0	0
"1638"	"YCL067C"	1.62	1.62	1.81	1.91	2.12	2.41	1.51
"1639"	"YCL068C"	0.25	0.26	0.3	0.26	0.33	0.24	0.21
"1640"	"YCL069W"	0	0	0	0	0	0	0
"1641"	"YCL073C"	0.94	1.16	1.22	1.11	1.09	0	0.85
"1642"	"YCL074W"	0	0	0	0	0	0	0
"1643"	"YCL075W"	0	0	0	0	0	0	0
"1644"	"YCL076W"	0	0	0	0	0	0	0
"1645"	"YCR001W"	0	0	0	0	0	0	0
"1646"	"YCR002C"	1.72	2.21	2.05	1.72	2.11	2.18	2.14
"1647"	"YCR003W"	1.24	2.03	2.4	1.95	1.75	1.38	1.12
"1648"	"YCR005C"	1.55	2.54	5.36	5.32	5.25	8.77	2.02
"1649"	"YCR006C"	0.46	0.35	0.39	0.28	0.41	0.43	0
"1650"	"YCR007C"	0.41	0.28	0.56	0.58	0.5	0.84	0.47
"1651"	"YCR008W"	1.02	0.88	1	0.94	1.16	1.14	1.07
"1652"	"YCR009C"	2.7	3.53	3.98	3.34	2.85	3.49	2.89
"1653"	"YCR010C"	0	0	0	0	0	0	0
"1654"	"YCR013C"	26.31	54.1	54.86	59.61	58.79	74.93	42.45
"1655"	"YCR014C"	0.83	0.57	0.63	0.64	0.63	0.61	0.78
"1656"	"YCR015C"	0.96	0.82	0.95	1.04	0.7	1.14	0.99
"1657"	"YCR016W"	2.5	1.07	0.65	0.72	0.95	1.5	1.9
"1658"	"YCR017C"	3.63	4.38	4.15	4.03	3.41	2.7	3.1
"1659"	"YCR018C"	1.11	0.85	1.03	0.9	0.98	0.99	0.8
"1660"	"YCR019W"	0.44	0.47	0.5	0.55	0.37	0.53	0.5
"1661"	"YCR020C"	1.03	1.08	0.87	0.86	1.03	1.05	0.98
"1662"	"YCR020C-A"	2.81	2.75	2.53	2.89	2.25	3.48	3.76
"1663"	"YCR021C"	4.03	18.01	7.02	3.3	2.87	35.04	4.38
"1664"	"YCR022C"	0	0	0	0	0	0	0
"1665"	"YCR023C"	1.06	0.99	0.97	0.99	1.09	1.01	1.24
"1666"	"YCR024C"	0.56	0.95	1.05	0.89	1.07	0.69	0.69
"1667"	"YCR024C-A"	2.54	1.77	1.64	1.46	1.67	2.13	1.9
"1668"	"YCR025C"	0	0	0	0	0	0	0
"1669"	"YCR026C"	1.67	1.39	1.36	1.58	1.7	1.86	1.76
"1670"	"YCR027C"	0.5	0.52	0.52	0.5	0.48	0.53	0.44
"1671"	"YCR028C"	1.69	1.61	0.97	1.39	1.24	1.85	0.76
"1672"	"YCR028C-A"	0	0	0	0	0	0	0
"1673"	"YCR030C"	1	1.32	1.62	1.77	1.68	0.88	1.07
"1674"	"YCR032W"	0.8	0.8	0.79	0.73	0.76	0.75	0.65
"1675"	"YCR034W"	4.01	3.37	2.21	2.05	2.45	2.93	3.56
"1676"	"YCR035C"	1.8	1.28	0.99	1.13	1.3	1.75	2.07
"1677"	"YCR036W"	1.4	2.61	2.96	3.11	2.96	2.88	2.32
"1678"	"YCR037C"	1.4	0.95	1.33	1.5	1.59	1.26	1.59
"1679"	"YCR038C"	0.19	0.22	0.21	0.22	0.22	0.16	0.2
"1680"	"YCR039C"	1.83	1.86	1.75	1.97	2.11	2.36	2.6
"1681"	"YCR040W"	0	0	0	0	0	0	0
"1682"	"YCR041W"	0	0	0	0	0	0	0
"1683"	"YCR042C"	0.75	0.61	0.58	0.57	0.71	0.46	0.65
"1684"	"YCR043C"	2.21	2.43	1.79	1.77	1.9	1.77	2.15
"1685"	"YCR044C"	0.85	1.05	0.98	0.97	0.97	0.84	0.75
"1686"	"YCR045C"	0	0	0	0	0	0	0
"1687"	"YCR046C"	0.97	1.81	2.1	2.13	2.1	1.57	1.15
"1688"	"YCR047C"	1.62	1.1	1.11	1.36	1.17	2.38	2.48
"1689"	"YCR048W"	0.87	0.76	0.58	0.68	0.61	0.77	0.94
"1690"	"YCR049C"	0	0	0	0	0	0	0
"1691"	"YCR050C"	0	0	0	0	0	0	0
