R0	R10	R20	R30	R40	R60	R90	fit.cluster
YNL092W	0	0	0	0	0	0	0	4
YNL093W	0.34	0.35	0.49	0.47	0.29	0.41	0.28	4
YNL094W	1.14	1.24	0	1.76	2.22	2.61	2.02	4
YNL095C	0.43	0.25	0.23	0.3	0.29	0.48	0.43	4
YNL097C	0.82	1.14	1.19	1.33	1.07	0.81	0.7	4
YNL099C	1.4	1.67	1.53	1.34	1.4	1.22	1.44	4
YNL100W	1.49	3.11	3.38	2.94	2.63	2.23	1.71	4
YNL101W	1	0.7	0.82	0.85	0.92	1.05	0.98	4
YNL103W-A	0	0	0	0	0	0	0	4
YNL105W	0	0	0	0	0	0	0	4
YNL107W	1.14	1.15	1.16	1.13	1.03	1.36	1.37	4
YNL108C	1.09	1.14	0.91	0.9	1.09	1.61	1.15	4
YNL109W	0	0	0	0	0	0	0	4
YNL110C	3.55	0.89	0.6	0.67	0.96	2.03	2.44	4
YNL111C	1.88	1.23	1.11	1.45	2.21	3.64	3.1	4
YNL114C	1.76	0.83	0.51	0.64	0.9	1.68	1.77	4
YNL115C	0.59	0.95	1.39	1.6	1.46	0.98	0.9	4
YNL116W	0.4	0.25	0.23	0.28	0.4	0.4	0.48	4
YNL117W	0	0	0	0	0	0	0	4
YNL118C	1.01	0.81	0.98	0.82	1.08	0.7	0.94	4
YNL119W	3.62	4.18	2.14	1.52	1.52	2.14	2.7	4
YNL120C	0	0	0	0	0	0	0	4
YNL121C	1.6	1.85	2.39	1.95	2.08	1.58	1.44	4
YNL122C	1.28	2.38	2.35	2.22	2.27	1.42	1.38	4
YNL124W	1.53	0.51	0.44	0.47	0.63	1.6	1.35	4
YNL125C	0.77	1.32	1.91	2.21	1.79	0.72	1.01	4
YNL126W	0.56	0.33	0.32	0.28	0.33	0.32	0.57	4
YNL128W	0	0	0	0	0	0	0	4
YNL129W	1.09	1.09	1.1	0.98	1.09	0.92	1.24	4
YNL130C	1.71	2.34	2.5	2.76	3.02	2.35	2.09	4
YNL132W	1.43	0.33	0.22	0.17	0.3	0.97	1.16	4
YNL133C	0.78	0.81	0.77	0.78	0.85	0.88	1	4
YNL137C	1.35	2	2.29	2.09	1.91	1.47	1.36	4
YNL138W	3.7	3.85	4.39	5.05	5.8	4.94	4.36	4
YNL139C	0	0	0	0	0	0	0	4
YNL140C	0.82	0.55	0.57	0.51	0.5	0.6	0.78	4
YNL142W	0.48	0.34	0.34	0.49	0.6	0.63	0.69	4
YNL143C	1.86	1.65	1.68	1.95	1.93	1.78	1.89	4
YNL145W	0	0	0	0	0	0	0	4
YNL146W	0.8	0.93	0.84	0	1.04	0.97	0.83	4
YNL147W	2.9	4.88	4.37	3.99	3.99	4.68	3.85	4
YNL148C	0.58	0.56	0.44	0.48	0.49	0.81	0.72	4
YNL149C	3.57	5.73	6.27	5.85	6.14	6.86	5.85	1
YNL150W	1.37	2.25	2.22	2.14	2.14	2.87	2.2	4
YNL151C	2.94	1.89	1.3	1.26	1.47	2.02	2.8	4
YNL152W	1.09	1.31	1.15	1.11	1.24	1.09	1.12	4
YNL153C	3.57	4.18	4.12	3.49	3.4	3.74	3.42	4
YNL154C	2.06	2.59	2.33	1.86	2.02	1.53	1.73	4
YNL155W	1.34	2.94	4.91	4.22	3.99	3.15	2.18	4
YNL157W	3.54	5.84	6.34	5.12	5.3	5.52	4.94	1
YNL158W	1.23	1.26	1.26	1.09	1.4	1.14	1.3	4
YNL159C	0.89	1.51	1.76	1.53	1.59	1.16	1.09	4
YNL161W	0.79	0.74	0.75	0.75	0.87	0.8	0.95	4
YNL162W	22.07	27.36	15.93	11.27	11.5	15.5	17.2	2
YNL164C	0.76	0.49	0.41	0.45	0.59	0.68	0.76	4
YNL165W	1.11	1.01	1.01	1.05	1.11	1.35	1.38	4
YNL166C	0.93	0.75	0.64	0.55	0.78	0.76	1.13	4
YNL167C	0.63	0.62	0.6	0.57	0.66	0.49	0.54	4
YNL168C	1.73	2.26	2.43	2.46	2.94	3.22	2.53	4
YNL169C	1.45	1.91	2.15	2.04	1.93	1.18	1.35	4
YNL170W	0.71	0.75	0.77	0.73	0.78	0.55	0.6	4
YNL171C	0.47	0.5	0.55	0.51	0.5	0.43	0.45	4
YNL173C	0.65	1.81	2.05	1.88	1.63	1.07	1	4
YNL174W	0	0	0	0	0	0	0	4
YNL175C	0	0	0	0	0	0	0	4
YNL176C	0	0	0	0	0	0	0	4
YNL177C	1.95	3.77	4.04	3.44	2.72	1.9	1.91	4
YNL178W	0	0	0	0	0	0	0	4
YNL179C	0	0	0	0	0	0	0	4
YNL180C	1.65	1.65	1.42	1.23	1.54	1.1	1.55	4
YNL181W	0	0	0	0	0	0	0	4
YNL182C	0	0	0	0	0	0	0	4
YNL183C	0	0	0	0	0	0	0	4
YNL184C	0	0	0	0	0	0	0	4
YNL185C	1.14	1.92	2.24	2.1	2.16	1.44	0.95	4
YNL187W	0.62	0.54	0.62	0.7	0.6	0.88	0.68	4
YNL188W	1.17	0.66	0.64	0.57	0.76	0.56	0.88	4
YNL189W	2.62	2.61	2.24	2.04	2.68	2.7	2.55	4
YNL190W	8.4	7.21	5.98	6.54	8.05	12.12	9.06	1
YNL191W	0.93	0.97	0.82	0.82	0.85	0.97	0.84	4
YNL192W	2.64	1.82	2.12	2.33	3.34	8.94	3.51	4
YNL193W	0.74	0.97	0.99	0.85	0.68	0.84	0.73	4
YNL194C	1.23	2.95	9.53	10.29	5.33	1.49	1.25	1
YNL195C	0	0	0	0	0	0	0	4
YNL196C	0	0	0	0	0	0	0	4
YNL198C	0.96	0.47	0.63	0.67	0.6	0.52	0.58	4
YNL199C	1.04	0.75	0.78	0.73	0.78	0.69	0.96	4
YNL200C	0.81	2.31	2.98	4.19	4.1	2.32	1.42	4
YNL202W	0.8	1.01	1.46	2.28	3.16	3.2	1.62	4
YNL203C	0.61	0.57	0.99	1.48	1.35	1.74	1.11	4
YNL204C	0.49	0.34	0.32	0.38	0.47	0.6	0.49	4
YNL205C	0	0	0	0	0	0	0	4
YNL206C	1.39	1.19	1.02	0.79	1.11	1.02	1.11	4
YNL207W	1.24	0.81	0.86	0.66	0.88	0.83	0.93	4
YNL209W	0	0	0	0	0	0	0	4
YNL210W	0.46	0.22	0.25	0.23	0.24	0	0.3	4
YNL211C	1.25	1.26	1.32	1.26	1.15	1.52	1.28	4
YNL213C	0.83	1.37	1.35	1.32	1.06	0.92	0.8	4
YNL214W	0.88	1.42	1.26	0.96	1.17	0.82	0.88	4
YNL215W	0.72	0.77	0.82	0.78	0.86	0.66	0.69	4
YNL216W	0	0	0	0	0	0	0	4
YNL217W	2.29	1.81	1.01	0.85	0.87	2.13	1.78	4
YNL218W	0.66	0.5	0.58	0.52	0.77	0.66	0.77	4
YNL219C	2.21	1.9	1.75	1.72	1.95	1.96	1.95	4
YNL221C	1.62	0.91	0.78	0.68	0.83	0.84	1.21	4
YNL222W	0.98	1.02	1.02	1.45	0.98	0.89	0.8	4
YNL223W	0.48	0.7	0.77	0.97	0.83	0.71	0.51	4
YNL224C	0	0	0	0	0	0	0	4
YNL225C	0.97	0.83	1.02	0.94	0.88	0.53	0.99	4
YNL226W	0	0	0	0	0	0	0	4
YNL227C	0.9	0.29	0.43	0.31	0.39	0.42	0.71	4
YNL228W	0	0	0	0	0	0	0	4
YNL229C	1.77	1.69	1.69	1.36	1.72	1.52	1.57	4
YNL230C	0.6	0.6	0.65	0.65	0.77	0.81	0.88	4
YNL231C	2.47	5.04	4.6	3.51	3.3	1.95	2.83	4
YNL232W	2.2	1.87	1.59	1.56	1.75	1.91	1.59	4
YNL233W	0.96	0.69	0.64	0.65	0.75	0.59	0.87	4
YNL235C	0	0	0	0	0	0	0	4
YNL236W	0.98	0.82	0.94	0.86	0.9	0.85	0.82	4
YNL237W	0.42	0.57	0.68	0.65	0.62	0.62	0.52	4
YNL238W	0.94	0.64	0.63	0.63	0.72	0.74	0.77	4
YNL240C	1.3	1.06	0.91	1.11	1.13	1.53	1.77	4
YNL245C	0.74	0.84	0.9	0.82	1	1.11	1.05	4
YNL246W	1.49	1.87	1.61	1.56	1.93	2.15	1.78	4
YNL248C	3.47	1.39	0.66	0.8	1.22	2.98	2.83	4
YNL249C	0.66	0.67	0.9	0.89	1.06	1.19	1.08	4
YNL251C	1.05	0.79	0.71	0.76	0.72	0.58	0.79	4
YNL252C	1.06	1.73	1.92	1.77	1.87	1.27	1.15	4
YNL253W	0.66	0.65	0.8	0.75	0.88	1.09	0.86	4
YNL254C	0.58	0.31	0.29	0.35	0.42	0.64	0.6	4
YNL256W	0.83	0.52	0.44	0.46	0.58	0.85	0.89	4
YNL258C	1.59	1.4	1.41	1.29	1.32	1.09	1.56	4
YNL260C	0.73	1.27	0.91	1.03	1.24	1.04	0.97	4
YNL261W	1.02	1.12	1.1	1.12	1.3	1.16	1.1	4
YNL263C	2.08	2.84	2.71	2.8	2.96	2.62	2.09	4
YNL264C	1.75	1.9	1.82	1.76	1.82	2.07	1.56	4
YNL265C	1.52	2.34	2.42	2.13	2.39	1.9	1.68	4
YNL266W	2	2.69	2.46	2.46	2.95	2.35	2.2	4
YNL268W	4.03	2.83	2.62	3.09	4.03	4.56	3.76	4
YNL269W	0	0	0	0	0	0	0	4
YNL270C	0	0	0	0	0	0	0	4
YNL275W	0.46	0.61	0.7	0.71	0.7	0.55	0.53	4
YNL276C	0	0	0	0	0	0	0	4
YNL277W	0.39	0.59	0.76	0.76	0.69	0.39	0.45	4
YNL278W	0.54	0.38	0.42	0.56	0.45	0.38	0.56	4
YNL279W	0.52	0.39	0.46	0.58	0.54	0.77	0.95	4
YNL280C	2.3	2.86	2.05	2.56	3.42	2.74	2.72	4
YNL281W	3.13	8.09	8.09	7.55	7.09	6.85	5.56	1
YNL282W	0.73	0.39	0.31	0.39	0.48	0.83	0.79	4
YNL283C	1.92	2.12	1.94	2.29	2.56	2.68	2.61	4
YNL284C	1.18	2.04	2.33	2.11	2.07	1.67	1.3	4
YNL285W	0	0	0	0	0	0	0	4
YNL286W	1.04	0.98	0.85	0.89	0.92	1.23	1.39	4
YNL287W	2.66	2.27	2.64	2.5	2.89	2.45	2.61	4
YNL288W	1.19	1.38	1.31	1.29	1.33	1.55	1.07	4
YNL289W	0.79	1.24	1.17	1.06	0.95	0.91	0.71	4
YNL290W	0.94	0.94	0.9	0.85	0.99	1.15	1.08	4
YNL291C	0.99	0.89	0.71	0.8	0.93	0.92	1.11	4
YNL292W	1.03	0.68	0.5	0.46	0.57	0.87	0.85	4
YNL293W	0.53	0.71	0.8	0.82	0.7	0.68	0.61	4
YNL294C	0.95	0.89	0.96	1.2	1.25	1.26	1.3	4
YNL295W	0.65	0.61	0.73	0.66	0.65	0.6	0.6	4
YNL296W	0	0	0	0	0	0	0	4
YNL297C	1.02	0.78	0.95	0.87	0.95	0.72	0.87	4
YNL298W	1.09	0.79	0.79	0.88	0.89	0.84	0.89	4
YNL299W	0.8	0.21	0.26	0.26	0.33	0.44	0.65	4
YNL300W	3.9	3.9	3.12	3.4	4.51	5.29	5.33	4
YNL303W	2.07	2.38	1.33	0.83	0.75	1.06	1.06	4
YNL304W	0.77	0.9	0.9	0.92	0.89	0.75	0.79	4
YNL305C	1.58	4.13	4.65	5.38	4.68	3.11	2.53	4
YNL306W	1.84	3.32	3.48	3.81	3.78	2.64	2.04	4
YNL307C	2.39	2.73	2.51	2.95	2.83	2.33	2.34	4
YNL308C	2.71	0.54	0.3	0.35	0.68	1.38	1.98	4
YNL309W	0	0	0	0	0	0	0	4
YNL311C	0.97	0.78	0.72	0.61	0.9	0	0.95	4
YNL312W	2.12	2.64	2.68	2.28	3.37	3.53	2.71	4
YNL314W	0.47	0.41	0.41	0.38	0.41	0.5	0.49	4
YNL315C	2.65	4.68	4.74	4.81	4.52	3.55	2.92	4
YNL316C	0	0	0	0	0	0	0	4
YNL317W	0.47	0.52	0.5	0.52	0.5	0.45	0.48	4
YNL318C	0	0	0	0	0	0	0	4
YNL319W	0	0	0	0	0	0	0	4
YNL320W	0.84	1.09	0.89	1.11	1.23	1.14	0.88	4
YNL322C	3.52	3.7	3.8	4.43	4.71	4.98	4.19	4
YNL323W	1.19	1.29	1.23	1.11	1.08	1.17	1.08	4
YNL324W	0	0	0	0	0	0	0	4
YNL325C	0.36	0.31	0.36	0.37	0.4	0.35	0.44	4
YNL326C	0	0	0	0	0	0	0	4
YNL328C	0.66	0.39	0.46	0.53	0.61	0.59	0.56	4
YNL329C	0	0	0	0	0	0	0	4
YNL330C	1.04	0.99	0.99	0.95	1.06	1.06	1.06	4
YNL331C	0	0	0	0	0	0	0	4
YNL332W	0	0	0	0	0	0	0	4
YNL333W	0	0	0	0	0	0	0	4
YNL334C	0	0	0	0	0	0	0	4
YNL335W	0	0	0	0	0	0	0	4
YNL336W	1.05	1.28	1.2	1.24	1.26	1.42	1.3	4
YNL337W	0	0	0	0	0	0	0	4
YNL338W	0	0	0	0	0	0	0	4
YNL339C	3.54	3.44	3.34	3.21	2.91	2.43	2.43	4
YNR002C	0.52	0.88	1.52	2.63	1.3	0.65	0.58	4
YNR003C	1.23	0.68	0.38	0.43	0.45	0.94	1.21	4
YNR004W	0.73	0.68	0.75	0.8	0.64	0.68	0.64	4
YNR005C	1.5	1.38	1.89	1.73	1.73	1.99	1.42	4
YNR006W	0.78	0.9	1.27	1.07	1.11	1.1	0.9	4
YNR007C	0.85	1.64	1.72	1.63	1.21	1.4	1.28	4
YNR009W	1.61	1.42	1.37	1.13	1.2	0.63	1.45	4
YNR010W	0.78	0.73	0.88	0.84	0.79	0.87	0.88	4
YNR011C	1.34	0.76	0.87	0.92	1.04	1.19	1.33	4
YNR012W	1.45	0.51	0.36	0.42	0.55	1.11	1.3	4
YNR013C	1.5	1.03	0.94	1.17	1.22	1.33	1.13	4
YNR014W	0.55	1.69	3.52	1.76	1.7	0.81	0.65	4
YNR017W	2.77	2.61	2.79	2.64	3.32	3.19	2.55	4
YNR018W	2.83	2.71	2.14	2.57	3.03	5.13	4.5	4
YNR020C	1.18	1.52	1.74	1.53	1.66	1.3	1.17	4
YNR021W	2.36	2.18	2.12	1.65	1.87	1.22	1.85	4
YNR022C	1.52	1.96	1.99	2.07	1.96	1.69	1.44	4
YNR023W	0.56	0.55	0.56	0.57	0.59	0.44	0.61	4
YNR024W	1.56	0.87	0.78	0.92	1	1.44	1.41	4
YNR025C	0	0	0	0	0	0	0	4
YNR026C	1.11	0.98	0.98	1.1	0.74	1.65	1.63	4
YNR027W	0.97	0.8	0.63	0.77	0.89	1.49	1.18	4
YNR028W	1.22	1.67	1.46	1.08	0.91	0.74	1	4
YNR029C	1.15	1.12	0.79	0.82	0.84	0.97	0.83	4
YNR032W	0.71	1.09	1.15	1.18	0.93	1.21	0.96	4
YNR033W	1.04	1.31	1.6	1.77	1.98	1.26	0	4
YNR034W	0.83	1.32	1.36	1.22	0.66	0.74	0.71	4
YNR035C	1.72	2.59	3.04	3.13	3.4	2.56	1.98	4
YNR036C	2.34	5.08	5.64	6.34	4.18	3.74	2.96	4
YNR037C	1.75	3.91	4.78	4.78	5.16	3.62	2.39	4
YNR038W	1.25	0.53	0.45	0.47	0.65	0.99	1.1	4
YNR039C	1.35	0.88	0.89	1	1.35	1.7	1.55	4
YNR040W	1.05	1.29	1.41	1.36	1.09	1.12	0.94	4
YNR041C	1.22	1.46	1.4	1.54	1.8	1.08	1.18	4
YNR042W	0	0	0	0	0	0	0	4
YNR044W	1.57	0.85	0.83	1.15	1.34	2.12	1.99	4
YNR045W	1.27	1.96	2.01	1.68	1.7	1.38	1.21	4
YNR047W	1.07	1.07	1.27	1.1	1.15	0.95	0.93	4
YNR048W	0.83	0.9	0.86	0.85	0.79	1.1	0.73	4
YNR049C	1.04	1.26	1.16	1.12	1.36	1.37	1.12	4
YNR051C	3.27	2.79	3.18	2.81	3.71	3.71	2.59	4
YNR052C	1.35	1.32	1.31	1.2	1.43	1.22	1.34	4
YNR054C	1.1	0.42	0.34	0.31	0.47	0.74	0.94	4
YNR055C	1.73	1.51	1.35	1.49	1.48	1.49	1.54	4
YNR056C	0.95	0.99	0.95	1.02	0.83	0.89	1.1	4
YNR057C	1.3	1.32	1.14	1.62	0.95	0.88	0.8	4
YNR058W	0.68	0.73	0.64	0.67	0.59	0.64	0.74	4
YNR060W	0	0	0	0	0	0	0	4
YNR061C	2.27	2.69	1.97	1.91	2.16	2.53	2.25	4
YNR062C	0	0	0	0	0	0	0	4
YNR063W	0	0	0	0	0	0	0	4
YNR064C	0	0	0	0	0	0	0	4
YNR066C	0	0	0	0	0	0	0	4
YNR067C	2.13	2.84	1.71	0	0	0	1.34	4
YNR068C	1.7	2.18	2.27	1.89	1.64	1.87	1.7	4
YNR069C	1.75	1.5	1.73	1.43	1.88	1.57	2.8	4
YNR070W	0	0	0	0	0	0	0	4
YNR071C	0.95	1.7	1.43	2.31	2.07	0	1.03	4
YNR072W	0	0	0	0	0	0	0	4
YNR073C	0.42	0.44	0.42	0.57	0.52	0	0.22	4
YNR074C	0.99	1.96	1.97	2.09	2.07	1.57	1.5	4
YNR075W	0.35	0.17	0.17	0.21	0.21	0.51	0.42	4
YNR076W	1.01	1.03	0.9	0.95	1.04	1.09	1.33	4
YNR077C	0.13	0.11	0.11	0.08	0.1	0.1	0.08	4
YOL001W	1.1	1.16	1	1.01	1.1	1.05	1.18	4
YOL002C	2.65	1.64	1.06	1.14	1.08	2.6	2.73	4
YOL003C	0.66	0.72	0.68	0.64	0.73	0.59	0.73	4
YOL004W	1.22	1.01	1.03	1.05	1.02	0.93	0.98	4
YOL005C	1.75	2.96	2.65	2.28	2.44	2.07	2.2	4
YOL006C	1.34	0.67	0.7	0.64	0.98	1.04	1.3	4
YOL007C	0.98	0.7	0.65	0.67	1.09	1.22	1.45	4
YOL008W	0.83	0.89	0.79	0.86	0.94	0.95	0.83	4
YOL010W	2.16	0.71	0.48	0.65	0.86	1.99	1.94	4
YOL011W	0.81	0.57	0.59	0.62	0.78	1.36	1.08	4
YOL012C	2.17	2.8	2.32	1.99	1.91	1.85	2.18	4
YOL013C	0.68	1.11	1.23	1.16	1.35	1.25	1.27	4
YOL014W	1.25	0.9	0.57	0.41	0.36	0.65	0.46	4
YOL015W	0.6	0.65	0.7	0.48	0.57	0	0.46	4
YOL016C	2.6	5.21	6.15	6.15	4.47	12.91	6.02	1
YOL017W	0.56	0.53	0.51	0.51	0.55	0.42	0.48	4
YOL018C	0	0	0	0	0	0	0	4
YOL020W	1.56	1.18	1.11	1.33	1.42	1.63	1.49	4
YOL022C	1.67	0.97	0.52	0.55	0.7	1.51	1.77	4
YOL023W	0.8	0.78	1.08	1	1.01	0.65	0.82	4
YOL024W	0	0	0	0	0	0	0	4
YOL025W	0.72	0.77	0.97	0.98	1.06	0.84	1.05	4
YOL026C	1.55	2.54	2.45	2.21	2.64	2.45	1.99	4
YOL027C	1.7	1.48	1.94	1.71	2.01	1.65	1.87	4
YOL028C	0.65	0.54	0.48	0.44	0.57	0.44	0.48	4
YOL029C	1.32	1.24	1.19	1.1	1.15	0.94	1.35	4
YOL030W	3.01	3.94	3.58	4.02	4.28	4.5	4.28	4
YOL031C	1.06	1.32	2.29	2.67	3.57	4.92	4.25	4
YOL032W	0.8	2.69	2.97	2.04	1.81	1.72	1.52	4
YOL033W	0.94	1.16	1.65	1.27	1.53	1.14	1.01	4
YOL034W	1.69	0.91	0.93	1.06	1.3	1.05	1.56	4
YOL035C	0	0	0	0	0	0	0	4
YOL036W	1.45	1.33	1.49	1.35	1.61	1.64	1.82	4
YOL037C	0	0	0	0	0	0	0	4
YOL042W	1.06	1.08	0.96	0.94	1.06	1.06	1.18	4
YOL043C	0.89	0.94	1.07	1.11	0.97	0.97	1.05	4
YOL044W	0.92	0.77	0.79	0.76	1.04	1.35	1.1	4
YOL045W	0.6	0.49	0.48	0.47	0.52	0.56	0.61	4
YOL046C	0	0	0	0	0	0	0	4
YOL047C	0	0	0	0	0	0	0	4
YOL048C	1.07	3.03	2.33	2.14	2.62	1.56	1.22	4
YOL050C	0	0	0	0	0	0	0	4
YOL051W	1.38	1.45	1.53	1.32	1.42	1.23	1.45	4
YOL052C	0	0	0	0	0	0	0	4
YOL053W	1.01	2.6	3.16	1.87	2.25	1.33	1.15	4
YOL054W	0.69	0.53	0.56	0.61	0.51	0.79	0.88	4
YOL061W	3.98	2.63	0	2.1	2.63	3.54	3.23	4
YOL062C	0.87	1.13	1.06	1.04	1.06	0.99	0.85	4
YOL063C	0.79	0.72	0	0.84	1	0.84	0.94	4
YOL066C	0.44	0.37	0.38	0.4	0.48	0.41	0.5	4
YOL069W	0	0	0	0	0	0	0	4
YOL070C	1.03	0.82	0.89	0.93	1.02	0.88	0.95	4
YOL071W	1.08	2.46	2.74	2.63	2.74	2.11	1.36	4
YOL072W	0.76	0.72	0.71	0.77	0.62	0.85	0.76	4
YOL073C	1.48	2.5	2.35	2.85	2.27	1.74	0	4
YOL075C	0.65	0.54	0.57	0.68	0.77	0.75	0.78	4
YOL076W	0.91	0.49	0.52	0.48	0.57	0.52	0.77	4
YOL077C	4.18	1.84	0.63	0.58	0.79	2.38	2.87	4
YOL078W	1.23	0.88	0.91	0.81	0.84	0.83	0.96	4
YOL079W	0	0	0	0	0	0	0	4
YOL080C	1.24	0.52	0.51	0.46	0.57	0.82	0.94	4
YOL082W	0.94	2.48	3.37	3.25	2.62	1.64	1.58	4
YOL084W	0	0	0	0	0	0	0	4
YOL085C	0	0	0	0	0	0	0	4
YOL088C	1.2	1.92	1.92	2.15	2.06	1.83	1.72	4
YOL089C	1.25	1.05	0.99	0.93	1.31	1.13	1.36	4
YOL090W	1.17	0.96	1.18	1.09	1.27	0.95	1.31	4
YOL091W	0	0	0	0	0	0	0	4
YOL092W	2.89	1.65	1.09	1.09	1.44	2.06	2.6	4
YOL093W	0.88	0.52	0.41	0.48	0.49	0.65	0.67	4
YOL094C	1.16	1.21	1.16	1.08	1.13	1.09	1.24	4
YOL095C	0.69	0.58	0.6	0.6	0.63	0.41	0.65	4
YOL096C	0.76	1.63	1.75	1.61	1.52	0.94	0.87	4
YOL098C	1.23	0.89	1.2	1.29	1.48	1.27	1.81	4
YOL099C	0	0	0	0	0	0	0	4
YOL100W	0.63	0.67	0.79	0.68	0.74	0.48	0.69	4
YOL101C	1.3	0.39	0.27	0.34	0.34	1.7	1.9	4
YOL102C	1.2	1.25	1.07	1.03	1.15	1.26	1.34	4
YOL103W	2.02	1.57	1.7	1.7	2.24	2.24	2.47	4
YOL104C	0.39	0.3	0.3	0.37	0.53	0.96	0.79	4
YOL105C	0.49	0.42	0.41	0.46	0.44	0.62	0.59	4
YOL106W	1.03	1.07	1.03	0.92	1.27	1.51	1.49	4
YOL107W	0.72	0.8	0.8	1.03	1.13	0.9	1.04	4
YOL108C	1.28	2.09	2.18	1.91	1.98	1.9	1.62	4
YOL109W	26.07	31.65	15.39	7.81	8.6	23.99	30.58	2
YOL110W	0.86	1.23	0.86	0.78	0.65	1.18	0.88	4
YOL112W	0.91	0.82	0.8	0.98	1.18	1.21	1.56	4
YOL113W	0.5	0.48	0.59	0.56	0.51	0.39	0.57	4
YOL114C	0.5	0.66	0.59	0.46	0.47	0.45	0.36	4
YOL115W	0.96	0.6	0.52	0.47	0.59	0.66	0.77	4
YOL116W	0.81	0.9	1.17	1.06	1.01	0.81	1.02	4
YOL117W	0.83	1	1.35	1.21	1.54	0.87	0.87	4
YOL118C	0	0	0	0	0	0	0	4
YOL119C	1.05	3.08	3.33	4.04	5.48	3.08	2.61	4
YOL120C	27.78	33.04	21.65	14.68	13.32	15.31	22.56	2
YOL121C	26.25	34.64	20.74	13.4	12.59	18.06	21.03	2
YOL122C	1.72	1.78	1.96	2.17	2.6	2.13	2.13	4
YOL124C	2.45	0.76	0.51	0.81	0.95	1.88	2.64	4
YOL125W	0.94	0.36	0.21	0.29	0.34	0.79	0.85	4
YOL126C	1.76	1.08	1.09	1.08	0.95	0.51	1.24	4
YOL128C	0.59	0.37	0.32	0.54	0.51	0.58	0.7	4
YOL129W	3.47	6	6.75	7.54	7.39	6.26	4.68	1
YOL131W	0	0	0	0	0	0	0	4
YOL132W	0	0	0	0	0	0	0	4
YOL133W	1.86	3.16	3.25	3.53	3.74	2.77	2.25	4
YOL134C	0.91	1.41	1.86	1.61	1.53	1.32	1.14	4
YOL135C	0.47	0.55	0.56	0.54	0.64	0.53	0.55	4
YOL136C	1.63	1.4	1.09	1.19	1.17	1.19	1.09	4
YOL137W	0.53	0.39	0.34	0.37	0.46	0.45	0.49	4
YOL139C	8.03	9.16	6.57	5.05	5.88	8.73	8.09	1
YOL141W	0.49	0.22	0.13	0.27	0.2	0.43	0.42	4
YOL142W	1.28	0.84	0.73	0.83	0.91	1.42	1.55	4
YOL144W	1.14	0.8	0.53	0.6	0.73	0.83	0.92	4
YOL145C	1.74	1.27	1.16	0.97	1.22	1.04	0	4
YOL146W	1.1	0.93	0.91	0.9	0.85	1.09	1.42	4
YOL148C	0.8	0.79	0.9	0.8	0.88	0.66	0.94	4
YOL149W	1.28	1.14	0.95	0.9	1.01	1.13	1.15	4
YOL150C	0.89	17.17	12.06	7.17	5.66	6.64	6.07	1
YOL152W	0.29	0.47	0.44	0.6	0.75	0.51	0.63	4
YOL153C	0	0	0	0	0	0	0	4
YOL154W	0.55	0.51	0.48	0.69	0.58	0.73	0.63	4
YOL155C	0.72	0.74	0.87	1.17	1.11	1.04	0.98	4
YOL156W	0	0	0	0	0	0	0	4
YOL157C	0.22	0.39	0.34	0.31	0.28	0.25	0.25	4
YOL158C	1.17	1.31	0.98	0.79	0.81	0.65	0.89	4
YOL159C	0.81	1.13	1.22	1.05	1.19	1.21	1.2	4
YOL160W	0	0	0	0	0	0	0	4
YOL161C	0.25	0.23	0.16	0.23	0.29	0.36	0.31	4
YOL162W	0	0	0	0	0	0	0	4
YOL163W	0	0	0	0	0	0	0	4
YOL164W	0.44	0.43	0.41	0.47	0.42	0.66	0.52	4
YOL165C	0.42	1.55	1.63	2.5	3.44	3.41	1.92	4
YOL166C	0	0	0	0	0	0	0	4
YOR002W	1.12	1.01	1.06	1.24	1.4	1.96	1.67	4
YOR003W	0.36	0.41	0.48	0.59	0.67	0.46	0.41	4
YOR004W	3.89	0.93	0.58	0.58	0.9	2.33	2.64	4
YOR005C	0.47	0.52	0.53	0.55	0.62	0.53	0.5	4
YOR006C	0.96	0.61	0.53	0.53	0.57	0.84	0.91	4
YOR008C	1.4	1.89	1.84	1.54	1.41	1.59	1.34	4
YOR008C-A	0	0	0	0	0	0	0	4
YOR009W	1.56	1.23	1.14	1.27	1.18	0.98	0.93	4
YOR010C	3.09	2.78	2.31	2.37	2.01	1.76	1.7	4
YOR011W	0.74	0.36	0.39	0	0.41	0.53	0.53	4
YOR012W	1.02	1.09	0.99	1.09	0.82	1.01	0.7	4
YOR013W	0.82	0.71	0.65	0.68	0.72	0.82	0.81	4
YOR014W	1.06	1.04	1.12	1.17	1.12	0.82	0.88	4
YOR015W	1.81	2.1	1.85	1.81	2.03	1.58	1.66	4
YOR016C	1.3	1.37	1.23	1.13	1.04	1.08	0.94	4
YOR017W	0.88	0.89	0.94	0.75	0.85	0.61	0.75	4
YOR018W	0.7	1.03	1.17	1.19	1.08	0.7	0.69	4
YOR019W	0.66	0.9	1.24	1.26	1.25	1.16	0.61	4
YOR022C	0.51	0.8	0.82	0.79	0.82	0.62	0.63	4
YOR023C	0.81	1.07	1.21	1.29	1.42	1.42	1	4
YOR024W	0	0	0	0	0	0	0	4
YOR025W	0.55	0.5	0.52	0.5	0.52	0.28	0.48	4
YOR026W	0.97	0.76	0.67	0.61	0.68	0.83	1.08	4
