R0	R10	R20	R30	R40	R60	R90	fit.cluster
YOR276W	5.46	7.01	4.66	3.55	3.6	5.09	4.82	1
YGR034W	30.79	36.86	20.31	14.77	13.59	19.35	23.99	2
YGR027C	51.64	83.9	53.1	34.55	28.85	38.33	41.95	6
YJR014W	3.42	3.22	2.63	2.4	2.8	3.19	2.92	4
YBR189W	13.47	15.37	9.14	6.33	6.33	8.07	9.59	1
YNL069C	20.84	25.65	16.46	11.01	11.01	15.47	17.28	2
YOR369C	53.8	80.98	45.24	27.47	20.39	29.64	35.5	6
YJL190C	36.45	47.77	29.2	16.43	14.6	21.83	27.25	2
YHR203C	41.58	52.27	27.06	16.66	17.85	27.44	31.51	2
YER074W	20.44	25.69	14.76	8.78	8.59	11.26	14.35	2
YGR085C	45.73	61.61	34.18	22.87	19.63	33.94	38.99	2
YLR340W	39.32	41.27	24.04	17.35	14.19	19.25	27.99	2
YBR048W	12.64	13.93	8.52	5.7	5.39	7.46	9.32	1
YNR050C	4.42	3.98	3.15	2.47	2.47	2.84	3.35	4
YOR021C	4.99	3.94	2.25	1.69	2.04	3.88	4.34	4
YML073C	29.82	38.53	22.13	14.01	14.3	20.51	21.53	2
YER056C-A	13.39	19.88	11.9	7.38	6.56	7.48	9.67	1
YDL083C	25.78	29.61	16.54	10.32	12.11	16.2	15.22	2
YKL216W	8.93	4.65	1.25	0.72	0.81	2.23	6.05	4
YNL067W	13.82	19.41	15.88	7.89	7.72	14.82	14.51	1
YDR447C	33.98	30.62	19.38	12.27	11.52	18.72	22.42	2
YOR063W	37.51	41.33	24.4	14.61	15.77	28.03	28.43	2
YMR242C	30.05	36.74	17.99	11.39	12.04	19.83	22	2
YLR448W	21.93	21.93	12.25	8.78	8.97	13.4	17.32	2
YBL072C	41.1	54.98	28.86	18.52	18.14	25.12	30.5	2
YHL001W	19.5	23.19	13.88	9.55	10.16	13.23	15.84	2
YER055C	8.22	6.23	3.94	2.79	3.86	4.92	4.43	4
YNL255C	4.12	4.41	2.64	1.89	2.18	4.09	4.15	4
YKL006W	27.12	30.72	17.89	11.64	11.4	17.05	20.84	2
YBL027W	29	42.46	24.39	16.2	14.5	21.23	22.29	2
YKL081W	27.58	21.49	13.23	10.24	10.24	13.51	19.91	2
YLR048W	20.23	21.38	11.54	7.51	7.3	10.33	14.61	1
YDR450W	21.98	29.61	20.5	10.99	10.54	14.7	15.87	2
YNL302C	27.65	31.1	19.96	18.24	13.73	12.03	18.24	2
YOR293W	18.03	21.89	11.89	7.74	7.22	10.07	11.73	1
YDL082W	19.52	24.37	14.79	8.38	9.17	12.7	13.43	2
YLR150W	28.06	36.77	24.94	16.57	14.03	15.14	20.26	2
YAL003W	25.55	32.12	26.27	16.86	16.4	19.91	23.84	2
YOR095C	3.04	1.49	0.58	0.55	0.7	2.16	2.47	4
YMR142C	14.17	19.22	11.35	6.94	6.65	9.09	9.48	1
YBR191W	49.18	64.89	38.85	23.59	22.63	34.54	37.27	6
YDR399W	7.37	2.28	0.96	1.1	1.7	4.12	3.76	4
YPL273W	3.23	3.16	1.78	1.2	1.49	2.38	2.74	4
YGR180C	9.43	11.22	7.56	5.2	5.2	6.81	8.04	1
YML063W	23.66	33.69	18.69	10.88	9.22	14.87	15.39	2
YPL117C	2.59	2.34	1.61	1.37	1.59	2.52	2.21	4
YGR285C	12.32	12.07	7.53	5.91	6.88	9.34	11.82	1
YLR029C	38.4	56.61	28.11	15.38	12.67	22.68	26.41	2
YDL136W	21.49	30.18	20.19	12.01	11.6	15.3	17.22	2
YHL015W	57.12	87.17	66.06	34.92	30.19	38.74	43.89	6
YLR441C	25.88	28.12	16.26	9.81	9.6	15.82	18.17	2
YJR123W	52.84	61.97	37.11	24.82	21.61	31.2	34.38	2
YDR226W	17	25.59	18.86	15.11	15.64	20.36	18.35	2
YBR181C	30.04	45.53	28.02	14.71	14.11	21.39	24.4	2
YGL076C	32.06	37.87	18.93	13.11	12.84	17.91	23.15	2
YPL131W	48.72	49.06	26.29	16.07	17.11	31.27	36.42	2
YDL051W	3.83	2.6	1.84	1.26	1.57	3.07	3.45	4
YKL180W	30.67	38.02	23.9	14.41	15.34	22.92	25.09	2
YBR031W	32.25	37.82	19.99	14.23	15.79	23.28	22.64	2
YLR420W	2.61	2.49	1.64	1.62	1.54	1.8	2.17	4
YLR355C	10.01	6.42	3.9	4.7	6.42	5.99	6.42	1
YMR116C	52.33	55.31	29.85	22	18.89	20.39	29.85	2
YNL096C	18.59	18.2	0	7.44	9.49	13.05	13.89	1
YGL123W	62.41	74.22	42.92	28.12	26.24	36.85	45.06	6
YBR249C	6.47	6.47	3.49	2.27	2.27	4.21	4.84	4
YOR096W	30.86	37.99	22.9	13.62	13.62	20.64	25.06	2
YHR025W	6.28	5.98	3.95	3.89	3.84	5.03	6.64	1
YLR058C	14.44	5.63	3.32	4.18	5.91	7.22	7.79	1
YAR071W	0.93	0.46	0.22	0.2	0.32	0.54	0.32	4
YBR092C	2.85	1.39	0.68	0.68	0.91	1.26	1.06	4
YBR121C	11.11	9.68	6.34	5.44	6.65	7.91	9.88	1
YJR016C	3.91	2.61	1.37	1.17	1.41	2.54	3	4
YGR185C	4.01	3.56	2.68	2.24	2.9	2.72	3.82	4
