"sodiumchloride$YORF"	"P0"	"P30"	"P60"	"P90"	"P120"	"P240"
"171"	"YER156C"	6081.633924	5672.544148	5672.126953	5864.058759	5627.532379	5861.461734
"172"	"YER159C"	5127.436254	4706.026724	4846.952402	4741.535551	5087.69795	4984.251255
"173"	"YER164W"	1616.855581	1783.629906	1726.000213	1724.247248	1652.858254	1562.671852
"174"	"YFL004W"	2914.868826	2887.655145	2730.663355	2663.022696	2663.239493	2457.837662
"175"	"YFL007W"	2595.30427	2817.308441	2747.417398	2852.116875	2621.567971	2324.706483
"176"	"YFL008W"	5705.20707	5825.460424	9336.291031	4446.041926	9851.412697	5772.161659
"177"	"YFL045C"	3497.215661	3182.405243	3220.756187	3314.393344	3329.052843	3379.905267
"178"	"YFL047W"	1746.07334	1500.272037	1786.723051	1930.62632	1386.054063	1728.331123
"179"	"YFL048C"	2903.612241	2537.185304	2589.764925	2680.66035	2781.116144	2790.471174
"180"	"YFR002W"	15545.46074	19757.61244	18887.43204	16223.2716	16680.13504	15242.65492
"181"	"YGL008C"	1255722.326	1213602.482	1102196.02	1139161.632	1176985.126	1283648.161
"182"	"YGL009C"	96329.45366	99994.44209	97845.98458	98027.99659	95231.45062	94691.30286
"183"	"YGL011C"	15207.64991	15726.26513	16551.05207	15952.70498	15864.07899	14539.38142
"184"	"YGL014W"	720.5172912	754.7954613	654.1840419	721.1873748	617.4963518	642.384442
"185"	"YGL019W"	8121.336004	8309.412308	8269.392412	7391.85907	7321.895205	7759.816264
"186"	"YGL020C"	2253.48995	2198.099784	2135.156941	2097.678332	2058.712005	2036.513086
"187"	"YGL022W"	3004.533419	2867.354489	3104.723793	3104.647059	3011.676537	2834.803088
"188"	"YGL027C"	2835.839687	2789.637108	3032.082317	3191.327237	2660.60404	3416.612852
"189"	"YGL030W"	59318.74947	55076.62872	50024.40244	49377.06679	49031.62695	51482.89869
"190"	"YGL031C"	247377.6215	237917.482	241002.6595	236349.6064	240712.5207	229301.3625
"191"	"YGL039W"	2343.073302	2303.392085	2216.887346	2122.739221	2113.816103	1847.009707
"192"	"YGL049C"	3389.321577	3486.184027	3569.654705	3748.091159	3765.746013	3766.651071
"193"	"YGL050W"	3389.321577	2764.054145	3205.91075	3359.974672	3633.65207	3054.668709
"194"	"YGL067W"	845.8189247	1055.747075	1025.73698	897.9206134	932.4899668	886.6883002
"195"	"YGL076C"	101440.7929	110839.8946	102371.4632	95532.19606	96433.31224	95404.63851
"196"	"YGL078C"	38934.18232	38439.48367	37041.10889	36687.06936	36125.09421	36721.6871
"197"	"YGL092W"	4632.572128	4622.202219	4726.944428	4083.139786	4433.872395	4123.772908
"198"	"YGL099W"	19425.11	19393.26029	17904.95955	18330.49024	17416.90095	17912.14476
"199"	"YGL101W"	1498.298948	1670.076549	1911.291374	1547.870925	1907.81802	1847.259407
"200"	"YGL111W"	2744.835938	2725.979974	2805.812021	2602.885212	2492.712832	2347.573096
"201"	"YGL115W"	11676.92473	9191.13982	10545.72297	10848.6949	10714.98677	10011.71466
"202"	"YGL120C"	16910.00072	16391.25514	15531.23088	16763.17244	16363.04406	15770.24977
"203"	"YGL122C"	9671.698819	10418.79308	9554.685312	9190.061223	8388.643763	8104.111547
"204"	"YGL133W"	2606.882407	1699.956292	2020.002343	1208.349395	2188.455298	1553.023791
"205"	"YGL147C"	52359.45941	46243.90295	48473.22604	50175.541	50141.80708	50387.90859
"206"	"YGL148W"	2313.309473	2267.252447	2126.152325	2110.287524	2166.049086	2267.885137
"207"	"YGL150C"	6278.43555	6770.930495	9976.761067	10104.71714	11611.70493	8382.524867
"208"	"YGL164C"	3671.414453	4359.21525	3079.573328	3881.664412	3329.448173	4343.847847
"209"	"YGL169W"	538.4095771	470.7309412	484.8109254	459.6106975	451.5374032	425.0044076
"210"	"YGL173C"	11676.92473	11617.61376	12255.05258	11840.04984	11719.46999	11026.71624
"211"	"YGL195W"	7327.540918	6869.892263	7388.656578	7549.509467	7408.486011	7141.359873
"212"	"YGL200C"	26817.41425	27485.21667	28253.74995	27710.67105	27568.49111	26818.393
"213"	"YGL201C"	13435.66707	11213.06499	9155.885997	8445.393539	10215.83727	12395.02738
"214"	"YGL232W"	2630	2774.978194	2657.838292	2466.82084	2576.976487	2477.935723
"215"	"YGL234W"	35800.67676	34093.95431	36461.17958	35235.90432	33796.59837	30848.82169
"216"	"YGR001C"	3060.232559	2777.674439	2936.336711	2865.596223	2991.520186	2775.557962
"217"	"YGR005C"	519.6820309	495.6935008	540.5996335	570.2458592	554.875399	530.0656338
"218"	"YGR017W"	2835.839687	3080.224968	2969.147247	2842.86485	2635.156971	2555.349285
"219"	"YGR020C"	4051.616146	4336.313569	3847.332244	3563.391014	3892.749457	4309.427157
"220"	"YGR024C"	1169.430224	1147.442196	1300.871623	1242.13117	1278.976698	1286.729874
"221"	"YGR034W"	33236.30537	34532.95194	32625.56041	32451.42672	32351.14358	32478.24435
"222"	"YGR061C"	40769.82377	37522.04184	37847.43718	36596.56946	35331.96536	32878.05234
"223"	"YGR082W"	5682.633923	5435.29229	5521.677163	5570.900091	5466.263518	6191.325171
"224"	"YGR090W"	3258.69488	3078.980834	3385.94924	3316.735284	3315.196405	3234.156525
"225"	"YGR094W"	358	339.2276119	337.238549	344.0603355	350.6178197	364.740033
"226"	"YGR116W"	8888.075319	8871.116121	9262.478055	9040.974788	9110.196747	9002.753915
"227"	"YGR119C"	9305.265894	9229.500047	9359.927875	9817.066337	9347.996466	8933.760434
"228"	"YGR123C"	6988.308614	6573.964441	6437.748388	6624.552541	6432.556223	6497.704507
"229"	"YGR128C"	16761.48064	17458.74641	16413.76737	15687.92774	15804.10668	14627.45549
"230"	"YGR148C"	36883.08897	35879.77446	34835.79074	36409.92545	36385.99874	35677.55116
"231"	"YGR157W"	1809.779588	1818.571246	1857.222913	1868.271739	1775.858946	1774.867004
"232"	"YGR159C"	77437.20787	73538.78776	68345.52628	65278.85007	63681.93222	60658.30511
"233"	"YGR162W"	9755.80372	10233.86587	9747.501677	9240.088927	8823.237348	8563.96769
"234"	"YGR173W"	6197.164469	6570.839501	5961.135577	6019.799036	5831.265043	5415.161294
"235"	"YGR175C"	65383.60778	62476.15103	58865.05678	55104.31112	54150.81523	53673.77395
"236"	"YGR178C"	2869.776294	2870.56054	2880.221886	2810.413318	2694.87677	2602.412953
"237"	"YGR185C"	2710.497904	2792.200476	2620.139532	2734.889599	2783.505358	2965.846506
"238"	"YGR186W"	1923.060261	1886.191883	1647.340837	1774.63908	1682.34507	1724.908727
"239"	"YGR187C"	20843.89598	18491.59578	20332.77192	18474.79045	17735.31081	16323.469
"240"	"YGR200C"	6093.156634	6186.976362	6285.754107	5876.97298	5951.144749	5992.47164
"241"	"YGR204W"	35641.17114	35658.22399	34160.82387	34130.42706	33355.65406	32375.15819
"242"	"YGR208W"	13849.95894	13286.64909	12389.19746	12718.24765	12594.08715	12657.46486
"243"	"YGR210C"	11592.42046	11440.93326	11086.6382	11816.87736	12258.82639	12310.84799
"244"	"YGR211W"	39859.04074	35739.55519	36612.60188	36244.50062	33027.12356	30533.79492
"245"	"YGR229C"	5682.633923	5710.904978	5323.325532	5519.259958	4949.759224	5817.193366
"246"	"YGR233C"	2926.114486	2659.461625	2791.339342	2730.731592	2802.828143	2561.543446
"247"	"YGR234W"	12966.99506	12262.22274	11745.05618	11263.08036	10821.24704	9912.458045
"248"	"YGR245C"	3637.908816	3128.70992	3213.251144	3239.153764	2954.044255	3116.473629
"249"	"YGR264C"	85016.15352	85671.94954	84980.25353	82285.93448	81150.37275	77231.2129
"250"	"YGR271C-A"	2835.839687	2721.707183	2670.256845	2611.240807	2426.482205	2316.596721
"251"	"YGR275W"	1551.271682	1771.918128	1595.852052	1485.176341	1508.46278	1437.650108
"252"	"YGR280C"	3850.062764	3821.44981	3547.275779	3260.374764	3275.291471	3199.773253
"253"	"YGR285C"	86409.01454	85615.14663	82249.46041	80639.83179	78770.41849	77389.31503
"254"	"YHL001W"	35104.47267	35550.18415	35690.33375	34823.9735	36183.63485	34113.21938
"255"	"YHL007C"	258.915893	256.8476177	221.9527786	253.7340809	210.6298505	182.5625256
"256"	"YHL039W"	5171.19776	4149.071752	8450.789534	4998.345848	6004.822384	4666.385762
"257"	"YHR010W"	7376.407847	7005.741672	7009.310932	6956.651172	6877.465356	6678.934086
