"YORF"	"R0"	"R30"	"R60"	"R90"	"R120"	"R240"
"115"	"YDR233C"	656.78	474.5854609	553.3193563	567.2604128	501.0430968	583.5055246
"116"	"YDR234W"	196.93	53.69247867	263.8296703	223.7828709	208.0894939	179.8546347
"117"	"YDR264C"	109.9	141.9532418	85.30184351	97.74807752	108.0313635	116.0929949
"118"	"YDR292C"	63.9	52.47880941	50.65602868	43.63006093	48.63522665	43.9663842
"119"	"YDR299W"	102.57	42.36322016	69.99551918	72.13234235	57.02656253	70.78690304
"120"	"YDR300C"	83.05	49.12983859	68.94028636	64.45253876	66.70237497	70.57371409
"121"	"YDR303C"	58.93	43.51751143	48.34563277	47.26448169	44.65950349	42.86350719
"122"	"YDR345C"	2167.22	731.8421276	1612.770869	1733.950812	1769.618878	1651.980168
"123"	"YDR346C"	245.18	100.7668336	147.0223061	169.9927919	153.8221514	179.3695692
"124"	"YDR361C"	129.75	66.12020584	94.9240904	89.35007231	109.6172547	117.32002
"125"	"YDR365C"	150.77	74.70191656	92.70987261	104.1542792	101.780672	106.7141164
"126"	"YDR395W"	113.02	69.8522905	83.73609949	89.38169747	87.39258977	98.83888682
"127"	"YDR399W"	434.02	137.5668698	171.7129226	182.9919659	342.4560057	367.7637266
"128"	"YDR408C"	111.47	67.20833682	87.27908256	77.28880547	103.9692802	112.7440436
"129"	"YDR412W"	74.52	35.63682851	56.5033032	54.16945276	46.67631139	53.78849201
"130"	"YDR449C"	102.22	55.90991111	64.53560771	69.28087948	71.14183046	68.8843772
"131"	"YDR454C"	285.55	131.138783	294.3850609	263.2864478	214.5648819	242.7276978
"132"	"YDR457W"	109.98	102.9881428	87.25222723	84.62652281	80.78898824	87.21351126
"133"	"YDR465C"	93.52	31.10132394	54.38146137	49.63744156	55.26143598	67.95178909
"134"	"YDR481C"	104.57	49.05736655	54.27911222	96.74527394	117.8023233	69.68229001
"135"	"YDR483W"	213.73	178.6479872	251.0142136	266.1415725	257.0564838	237.5242333
"136"	"YDR493W"	32.08	37.24870648	58.63517796	48.02355398	59.32685962	51.56926798
"137"	"YDR500C"	1823.67	993.0255908	2405.635912	2043.777862	2186.789934	3893.482197
"138"	"YDR519W"	134.17	84.93974534	161.8294496	125.2937308	104.5646968	140.1883395
"139"	"YDR527W"	97.38	66.87056749	66.1044617	70.74121069	80.88657353	71.32568555
"140"	"YEL001C"	259.62	159.6926592	267.2648338	309.7169102	253.1102323	244.7359308
"141"	"YEL003W"	182.07	121.0992805	210.384556	114.403229	101.9008669	126.6200287
"142"	"YEL015W"	74.98	69.70628218	65.98292285	69.25735059	55.43027559	64.36745218
"143"	"YEL031W"	217.83	168.4324729	170.1207351	205.9613242	180.841376	223.963885
