ENSGID	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000172732	11.48678236	11.61291914	11.73922193	11.9941558	12.29239999	11.82449263	11.41254152	11.09575197	11.45909286	11.4871383	11.51501114	11.57178425	11.49216312	11.28108952	11.14687811	11.05650758
ENSG00000213123	11.43220652	11.31152105	11.19082702	10.94926176	11.03412667	11.26338431	11.49702752	11.67308314	11.27527293	11.22544623	11.17567782	11.07643939	11.59847507	11.59945541	11.57770188	11.5695443
ENSG00000100280	13.74662315	13.71609258	13.68616737	13.62719079	13.51762218	13.4501207	13.36393587	13.29505591	13.67031523	13.67816515	13.68569575	13.70181249	13.49059208	13.50305775	13.36986244	13.25590484
ENSG00000124839	6.681509919	6.605300589	6.530140686	6.382217592	5.841321014	6.192538938	6.694309502	7.046301989	5.978336125	5.946971322	5.912799219	5.831420769	5.569809263	5.6519295	6.059511347	6.392971294
ENSG00000168827	9.720070121	9.656122779	9.59237142	9.466182263	9.028849017	9.517243213	9.749801895	9.920912916	9.745155635	9.657600631	9.569723997	9.393724769	9.512214268	9.671312375	9.753750432	9.812518423
ENSG00000141030	12.9258854	12.94654849	12.96796807	13.01408724	13.1197571	13.10456647	12.99633723	12.90629908	12.99788993	12.99022282	12.98277374	12.97143934	13.11423659	13.06744397	12.98052039	12.91148397
ENSG00000140386	6.336022687	6.47078514	6.605614203	6.876986127	7.394550172	6.495735685	6.841130944	6.936436346	6.193479224	6.224567452	6.254673006	6.31142559	5.943338546	6.801914892	6.660984459	6.807756787
ENSG00000215781	7.538746638	7.608365062	7.679046426	7.824990662	7.793808233	7.331191366	7.471830038	7.627042945	7.503166704	7.545260137	7.587281908	7.671468544	6.865466503	7.132548911	7.420997963	7.64024347
ENSG00000164251	6.449729737	6.528074246	6.607784448	6.772656554	6.236662479	5.521434644	5.970261754	6.299266583	7.051350192	7.199119597	7.346289317	7.641325794	5.890646306	7.394599645	7.037752639	7.317062021
ENSG00000174332	8.498021767	8.579253677	8.660469758	8.822635332	9.254667846	9.00972771	8.757652357	8.567288609	8.92270635	9.052282883	9.181893566	9.440467888	8.85561915	8.874747832	8.826453921	8.786937006
ENSG00000141965	6.663072658	6.76022409	6.857560714	7.055651049	6.407032102	6.621417882	6.647434241	6.649023724	6.802035493	6.699365374	6.596708587	6.39155135	6.655085773	6.658472363	6.681228096	6.701201464
ENSG00000130311	9.394500875	9.383273456	9.373012473	9.356927664	9.809285048	9.550237692	9.378848138	9.257160301	9.509491953	9.5455089	9.582489171	9.66208643	9.57267713	9.533138496	9.438745559	9.360640269
ENSG00000240889	8.605400877	8.278656333	7.951551457	7.29432738	8.238762194	8.424069307	8.119290714	7.960570021	8.942707743	9.039079564	9.13514009	9.323541	9.300538404	8.66425565	8.418985511	8.272870186
ENSG00000151208	10.21660245	10.15707571	10.09844131	9.982897215	9.974455107	10.0336819	10.14014521	10.21924411	10.36455915	10.3211431	10.27751478	10.19136388	10.02499992	10.15691085	10.22285696	10.26721884
ENSG00000125877	12.12108414	12.03669308	11.95182353	11.77928781	11.54327452	11.9323919	12.18255658	12.37054962	12.109522	12.04785743	11.98618357	11.86268786	12.00810837	12.06664099	12.12848603	12.1754881
ENSG00000197959	8.780765401	8.702706548	8.625284101	8.469630443	7.913390312	8.261006122	8.396207163	8.499246542	7.821521814	7.871385063	7.921213669	8.020215356	7.549926753	7.548944963	7.679709822	7.728746644
ENSG00000149380	6.363036473	6.443190824	6.521821504	6.676075456	6.504986624	5.556362898	5.783436753	6.003010734	6.442667725	6.35616075	6.268441913	6.088283595	5.053840225	6.009768691	6.286743579	6.450581396
ENSG00000163950	12.1530478	12.28214212	12.41172962	12.67653076	12.94635551	12.12647946	12.22567642	12.37376012	12.42433863	12.38188032	12.33942201	12.25450539	11.82448659	12.16517431	12.48371034	12.71942409
ENSG00000161265	7.941903505	7.995959178	8.049342401	8.153088231	9.587416558	8.820466805	8.30115013	7.875961936	7.973828075	8.008704411	8.043581495	8.112871361	8.555526217	8.520221014	8.138088069	7.900825597
ENSG00000008323	6.241743917	6.196746199	6.150738705	6.05782777	6.610378868	6.522489996	6.521306494	6.527245277	6.139949331	6.201805224	6.263980483	6.388219605	6.421823369	6.192689402	6.049891194	5.943153084
ENSG00000083544	6.124982664	6.19261456	6.260381676	6.395882351	6.866567042	6.075319434	6.134359599	6.123039687	6.002707089	5.987076125	5.970203816	5.931003618	5.703677118	6.243894125	6.399138854	6.48693887
ENSG00000131462	13.48861057	13.45854528	13.4292166	13.37450704	13.71331637	13.26010474	13.22440022	13.23752897	13.69900204	13.65880612	13.61860194	13.53815668	12.92594317	13.13002182	13.32475383	13.469198
ENSG00000100629	8.319997443	8.311218376	8.302456081	8.285120906	7.869807892	7.939500576	7.953491389	7.956493073	8.357988045	8.359171554	8.359745534	8.357540046	8.380013407	8.546865662	8.342134059	8.251364613
ENSG00000134352	8.78231803	8.627317778	8.472511697	8.162960757	9.026772571	9.1400279	9.083492522	9.022919745	8.20673251	8.319292866	8.431881628	8.656946922	8.917834413	8.917536286	9.086118793	9.188559553
ENSG00000120029	9.361405825	9.403928952	9.446521144	9.532652115	9.812417929	9.586195828	9.358313661	9.187626636	9.393821828	9.489695974	9.58580239	9.779495098	9.724799185	9.509226355	9.414815689	9.321950135
ENSG00000226677	10.44384511	10.40140406	10.35870771	10.27389263	10.37472971	10.5803208	10.68149906	10.74812316	10.49747609	10.39757834	10.29752751	10.09921466	10.75234255	10.85769168	10.80047915	10.75218642
ENSG00000109270	7.413653043	7.43720459	7.46200624	7.516101032	7.28746113	7.435270492	7.394667729	7.34215393	7.404754774	7.375619821	7.346247862	7.287266096	7.733329114	7.592485006	7.474798414	7.386812946
ENSG00000177469	15.3400569	15.31477394	15.28959592	15.23887576	15.23613445	15.23622359	14.87358177	14.73759108	15.16560086	15.24957729	15.33387904	15.50452722	14.52943222	14.61378394	14.66974011	14.70654016
ENSG00000118096	7.765246523	7.783569323	7.802180288	7.843737329	7.966856194	7.989279058	7.84204669	7.709534912	8.017992127	7.851874618	7.685371727	7.352066896	8.227376866	7.918455905	7.747275975	7.631641554
ENSG00000117691	12.79026665	12.68293875	12.57556269	12.35890945	12.31857936	12.61210044	12.74825698	12.86644494	12.39675169	12.42492201	12.45334282	12.51075774	12.7403409	12.7586087	12.86166796	12.9444322
ENSG00000121644	10.37502744	10.40610098	10.43754577	10.50123805	10.375369	10.10115881	10.14887862	10.06656381	10.52002126	10.44745282	10.3749086	10.22993005	10.7968843	10.66678602	10.38799678	10.19940444
ENSG00000104660	10.59139603	10.63772146	10.68471925	10.78291601	10.71779738	10.74470714	10.71381341	10.68355271	10.76826696	10.76572483	10.76314519	10.75790454	10.71227346	10.71231906	10.55561162	10.49684632
ENSG00000143324	8.392978009	8.376410925	8.360540639	8.332476359	7.769714878	8.279420926	8.557894375	8.741753554	8.485913832	8.412666481	8.339230658	8.192957613	8.321752961	8.375642636	8.485591071	8.575773812
