	P0	P10	P20	P30	P40	P60	P90	P120	R0	R10	R20	R30	R40	R60	R90
YGL232W	111	108	147	63	183		44	58	1.84	2	1.66	1.46	1.46	1.55	1.66
YKR043C	2813	2725	3715	2329	3167	1800	2996	2217	3.58	3.46	2.25	1.67	2.1	3.61	3.95
YOR184W	4230	3364	2579	3300	4228	3342	3433	2713	3.44	3.69	2.82	2.56	2.86	3.28	3.28
YER043C	7297	6036	7014	7988	8494	5170	7291	6835	18.8	15.81	11.65	12.57	14.65	20.71	19.33
YBR248C	332	279		209	374	134	225	246	1.34	0.84	0.66	0.63	0.79	0.82	1.19
YNR043W	1608	1854	1299	1276	1633	1575	1824	2009	2.33	1.84	1.5	1.45	1.84	2.5	2.29
YDR165W	134	84	98	111	152	52	63	148	2.92	1.43	0.76	0.91	1.2	2.25	2.42
YCR053W	5354	4078	3485	4059	4141	3083	3043	2665	5.55	4.51	3.49	3.16	4.06	4.38	4.9
YPL212C	235	153	156	182	80		94	211	1.71	1.04	0.75	0.69	0.89	1	1.49
YML056C	2669	2230	651	576	1873	1426	404	310	5.95	3.69	1.96	1.31	2.09	5.26	5.29
YLL018C	3705	2853	2964	3909	3579	2258	3802	3508	6.41	6.06	4.96	4.53	5.2	6.36	6.36
YHR170W		78		10	74	41	50	59	3.25	1.1	0.59	0.59	0.94	2.46	2.41
YGR094W	2649	2086	2365	2642	2738	1822	2406	2430	3.93	2.36	1.89	1.81	2.17	3.11	3.42
YER165W	2307	2337	2689	2648	2687	2389	2596	2473	4.84	4.07	3.11	2.76	3.67	6.08	4.52
YDR378C	969	653	549	697	122			329	1.89	2.97	2.3	2.22	1.76	2.14	2.19
YER057C	1995	2385	2022	909	3813	2561	1280	2279	3.08	4.3	3.51	3.44	4.06	4.42	3.39
YNL259C	1008	1149		341	1363	711	659	1442	2.89	4.33	4.7	4.24	4.24	5.04	3.79
YOL143C	5178	3846	4114	3567	5305	3387	3398	3670	5.3	9.42	7.92	6.3	6.57	5.88	4.71
YPL041C		510	284	161	139			425	0.75	0.77	0.8	0.91	1	1	0.91
YGR181W	870	404	746	541	156		828	234	2.82	5.15	3.85	3.8	3.7	3.04	3.11
YGL242C	2989	2275	2000	2519	2314	1665	2081	1398	2.8	4.62	5.02	4.31	4.05	3.4	3.22
YOR202W	1820	1434	1818	1168	1056	770	526	1076	1.44	1.5	1.32	1.19	1.29	1.45	1.07
YBR011C	19734	21849	18020	19232	21890	19421	18111	15288	9.78	13.36	11.88	10.56	12.64	13.36	11.72
YJL184W	872	581	627	218	616	322	641	620	1.13	1.21	1.12	1.08	1.1	1.37	1.52
YMR074C		576		217	1260	365		263	2.67	4.71	4.52	4.34	4.37	4.16	3.2
YAL044C	3958	3050	3728	3107	2817	2714	2743	3095	5.07	7.52	6.5	6.78	7.32	7.42	6.33
YLR351C	298	145	183	189	166	215	196	172	2.48	2.93	2.62	2.73	2.91	3.61	3.61
YGR267C	341	107			113			48	3.07	3.94	3.43	2.77	2.95	3.16	2.99
YDL078C	708	439	246	298	230		170		2.97	5.07	5.55	5.67	4.54	4.35	3.49
YER152C	32			15			16		1.44	1.41	1.44	1.95	2.07	2.41	2.08
YDL086W	394	617	523	183	619	329	445	670	3.25	4.35	4.47	5.24	6.07	5.43	4.26
YBL091C	135			124	53			38	2.99	4	4.29	3.63	3.71	3.76	3.12
YOL058W	1171	699	820	576	746	344	466	289	2.9	3.11	2.92	2.92	2.82	3.35	3.2
YER089C	338	228	269	185	351	264	237	292	2.12	2.58	2.56	3.05	2.69	2.41	2.82
YPL028W	7054	6594	4733	6304	7169	5794	6250	7220	6.41	8.06	7.95	7.06	6.97	7.06	7.68
YDL042C	356		268	444	203		308	144	1.16	1.03	1.02	1.03	1.08	0.94	1.08
YDR167W	560		583		398	666	440	322	1.55	1.93	1.71	1.51	1.56	1.76	1.61
YPR074C	8980	8275	6907	9316	9114	7430	7452	8615	9.45	11.64	10.56	10.64	11.09	11.32	9.32
YPL262W	1641	1426	887	1319	1466	1203	1131	1464	2.03	2.82	2.59	2.34	2.34	2.57	2.63
YDL185W	1345	933	800	1054	936	879	665	1186	5.11	3.82	4.04	5.33	5.79	5.37	5.33
YAL051W	37		37	50	10	28		19	1.33	1.33	1.41	1.32	1.23	1.21	1.08
YER091C	2702	2462	2258	2150	3255	2039	2112	1768	2.85	4.62	4.14	4.56	5.53	3.73	2.91
YHR108W	253	180	294		81	288	118		1.7	1.67	1.62	1.33	1.69	1.63	1.59
YDR207C		66	51		20	8	48	42	0.5	0.51	0.52	0.48	0.51	0.46	0.45
YDR027C	25			14			11		1.1	1.09	1.32	0.82	1.11	0.82	0.72
YGR204W	4186	2952	3377	3503	3398	2040	3152	2503	4.33	3.9	3.9	4.33	5.36	4.94	4.54
YDL040C	188	117	120	188	253	38	139	181	2.44	2.21	2.37	2.08	2.42	2.27	2.24
YLR398C	52	39	15	23	94	3		7	1.01	0.97	1.04	0.97	0.95	0.87	0.9
YNL267W	26		31	14	13			10	1.06	1.14	1.05	0.99	1.21	0.8	0.98
YMR080C	161		125			10	88	47	1.27	0.78	0.71	0.86	0.9	1.19	1.12
YJR138W	61	171	84	107	94	56	87		0.8	0.68	0.72	0.74	0.65	0.57	0.73
YBR034C	137	124			325		167	138	3.05	1.43	0.91	1.22	1.56	3.22	2.23
YOR294W	167	361			805	140	237	557	1.93	0.52	0.37	0.43	0.66	1.43	1.66
YPR110C		42		126	18		258	50	5.24	2.93	1.8	1.31	2.04	4.44	4.17
YOR310C	244	281	289		331	1215	597	543	9.72	3.89	1.95	1.56	2.81	5.25	7.22
YEL046C	763	1082	680	1640	2617	1681	2375	2075	3.9	2.78	1.76	1.79	2.06	3.04	2.68
YJR007W		78			155	64	96	125	5.73	4.08	3.68	3.6	4.29	5.98	4.35
YLR196W	55	47	335	177	164	34	102		3.05	0.91	0.55	0.61	1.13	2.28	2.53
YNL141W	538	695	614	780	987	667	981	990	2.79	0.56	0.25	0.28	0.36	1.79	2.09
YDR120C	103	118	269	63	131		233		2.56	0.92	0.54	0.67	0.84	1.31	2.08
YMR049C	16	29		20	85	34	122	144	2.39	0.53	0.36	0.33	0.55	1.24	1.68
YDL167C		13			17	10		38	0.87	0.28	0.18	0.22	0.35	0.62	0.71
YOR243C	70	45	128	96	157	80	85	100	1.61	0.72	0.42	0.48	0.72	1.13	1.37
YMR205C	963	1076	993	1379	2323	1257	1817	1292	4.74	3.21	2.5	3.13	3.47	5.37	3.47
YDR101C	156	193		136	394	202	346	322	2.56	0.77	0.43	0.59	0.77	1.82	2.05
YKL176C		202			366			278	1.07	0.67	0.59	0.69	0.72	0.83	0.99
YMR108W	85	53	90		192	151	47	188	2.56	1.97	1.25	1.1	1.59	2.51	2.54
YCL037C	89	75		67	102		224		1.23	0.36	0.26	0.27	0.44	0.66	0.73
YMR247C		116			143		168	275	1.5	1.03	1.03	1.05	1.02	1.15	1.51
YOR210W	889	671	177	703	1304	772	1134	967	5.99	6.5	4.38	3.58	3.53	5.03	5.21
YJR047C	635	525	136	689	1030	635	974	855	7.92	10.81	8.25	7.04	7.18	6.99	7.7
YDR050C	23510	25018	16229	17850	36916	28907	22172	28516	30.67	49.14	34.27	33.8	34.27	43.37	30.67
YDR071C	1185	987	368	468	1813	968	434	1048	5.98	10.19	9.71	8	7.78	8.93	6.45
YER156C	109		19		62		32	105	2.9	1.97	1.28	1.28	1.73	3.33	2.7
YOL086C	63661	66378	39377	58639	86151	63902	43036	57747	42.69	64.71	46.39	50.77	50.77	69.35	43.89
YKL060C	90033	120386	65548	86200	145071	117997	93948	104415	153.36	206.61	139.18	141.12	154.43	213.9	141.12
YHR013C	601		395	786		631	423		1.72	2.4	1.87	1.61	1.62	1.72	1.71
YKL040C	550	485	384	278	827	417	533	572	1.5	2.28	1.57	1.71	1.7	1.96	1.95
YDL236W	939	709	192	586	980	572	535	383	2.1	2.52	2.14	1.77	2.31	3.39	2.7
YBR118W	4702	4271	3471	4254	4218	6166	3526	6371	25.3	36.28	25.48	20.55	20.27	29.26	29.88
